CPU Power Cap,GPU Power Cap,IPS,FLOPS
160,250,5420140364.6,0.0
160,170,5384208532.55,0.0
180,250,5695545128.315789,0.0
180,130,5866835318.277778,0.0
540,210,5845476327.277778,0.0
540,110,5798673697.947369,0.0
200,150,6044617780.470589,0.0
540,170,6122493779.222222,0.0
180,110,5587539875.35,0.0
160,210,5200894334.095238,0.0
180,190,5888300318.333333,0.0
140,130,4368062710.92,0.0
140,150,4395664229.2,0.0
140,190,4627430041.086957,0.0
300,110,5848631233.789474,0.0
200,250,5855318765.444445,0.0
540,250,5966028956.777778,0.0
200,190,5771413477.789474,0.0
120,150,3624461868.8333335,0.0
300,190,5933152756.105263,0.0
120,250,3614940298.866667,0.0
300,130,6124076454.666667,0.0
300,230,6281907209.0,0.0
140,170,4376711267.6,0.0
540,190,6259163255.294118,0.0
160,130,5259112873.666667,0.0
140,250,4361333527.72,0.0
540,150,5909940877.421053,0.0
200,110,5851267010.736842,0.0
140,210,4554643989.5,0.0
120,110,3616461394.733333,0.0
120,190,3721597128.3103447,0.0
300,150,6135656800.0,0.0
540,230,6080546931.833333,0.0
200,170,5754787994.736842,0.0
120,170,3690978948.0689654,0.0
200,230,5799696486.052631,0.0
540,130,6296954718.705882,0.0
300,170,6249057315.470589,0.0
160,190,5177019384.761905,0.0
120,230,3634905880.7,0.0
180,170,5560108491.3,0.0
120,210,3684803667.9310346,0.0
140,110,4563619328.583333,0.0
300,250,5774619400.947369,0.0
180,230,5878521818.444445,0.0
180,210,6064092042.722222,0.0
140,230,4485207669.75,0.0
160,230,5140830874.238095,0.0
160,110,5193205259.666667,0.0
200,210,5961296683.947369,0.0
200,130,6246696055.0,0.0
300,210,5641108317.65,0.0
160,150,5204568895.476191,0.0
180,150,5470774538.190476,0.0
120,130,3702574492.6896553,0.0
