CPU Power Cap,GPU Power Cap,IPS,FLOPS
160,250,6915264715.3,2.32201092096
160,170,7249300419.863636,2.3074127700479994
180,250,7739386966.85,2.1822602415157895
180,130,8028306529.875,2.371049641550769
540,210,7766818203.523809,2.34873188352
540,110,7755438631.733334,1.503667148012308
200,150,7850478763.913043,2.0873557214608693
540,170,7926560653.545455,2.1100653619199994
180,110,7806305833.3,2.1769831766016
160,210,7138869503.095238,2.1373067980800005
180,190,7576050848.045455,2.3927771268654543
140,130,5736115684.04,1.8357748384581818
140,150,5502426072.666667,1.7509928667428571
140,190,5831948202.227273,2.0903374205672725
300,110,7932833946.9,2.188282656834782
200,250,7795512867.15,2.2392208842573917
540,250,6906461223.086957,2.0897626940509095
200,190,7498338045.772727,2.153478528
120,150,4790220146.625,2.0908235398736843
300,190,7631716811.409091,2.073780482194285
120,250,4565223657.904762,2.2309732935234785
300,130,7963857633.916667,2.112862437322105
300,230,7663571941.904762,2.1080106256695657
140,170,5744849206.608696,2.099488989312
540,190,7675010619.772727,2.1336609404660867
160,130,6969236097.64,2.1189866408228575
140,250,5671533928.809524,2.2246426828800003
540,150,7721557677.608696,2.0252049407999997
200,110,8085403155.4827585,2.1708625086719997
140,210,5721232701.227273,2.1111164006400003
120,110,4690731000.933333,1.93148131968
120,190,4442774038.782609,2.009517287862857
300,150,7882964555.26087,1.9414709979428573
540,230,7680374064.666667,2.186850795054546
200,170,7939120175.909091,2.005966583588571
120,170,4643804386.0,2.035886967986087
200,230,7742747769.476191,2.1528877593600004
540,130,7872613789.5,2.1784192546909087
300,170,7936754060.590909,2.3330771649163635
160,190,6958862650.090909,2.272950740736
120,230,4439001804.363636,2.3215371379199996
180,170,7836032022.5,2.196935229805714
120,210,4583311282.545455,2.2651297409113047
140,110,5768464365.766666,1.8148564173913042
300,250,7898993262.2,2.1718552361890904
180,230,7701964222.380953,2.2508210714713046
180,210,7857148137.238095,2.1327340953600005
140,230,5761098018.238095,2.3303304460800005
160,230,6889920130.714286,1.970183922152727
160,110,6984879745.033334,1.9218178148072729
200,210,7844021012.238095,2.1957355139657144
200,130,7939992590.75,2.2235084829257143
300,210,7844036880.571428,2.299664740937143
160,150,7082088423.565217,2.2176339148799995
180,150,7732135601.73913,2.1188998656000004
120,130,4686269142.32,2.2075647097263156
