CPU Power Cap,GPU Power Cap,IPS,FLOPS
160,250,4886493314.690476,0.0
160,170,4931377122.666667,0.0
180,250,3728241469.5,0.0
180,130,5497716027.710526,0.0
540,210,5444576476.736842,0.0
540,110,5440032670.131579,0.0
200,150,5593028025.378378,0.0
540,170,5560818798.756757,0.0
180,110,5479331582.315789,0.0
160,210,4855054330.0,0.0
180,190,5555366478.1081085,0.0
140,130,4090307299.2941175,0.0
140,150,4086978466.54902,0.0
140,190,4217472308.3265305,0.0
300,110,5388165058.974359,0.0
200,250,5430762883.263158,0.0
540,250,5458418616.447369,0.0
200,190,5414212207.947369,0.0
120,150,3439044696.4166665,0.0
300,190,5443614973.421053,0.0
120,250,3337966131.580645,0.0
300,130,5197093984.875,0.0
300,230,5055047833.341463,0.0
140,170,4148859597.14,0.0
540,190,5446357577.526316,0.0
160,130,4916355857.619047,0.0
140,250,4080795222.470588,0.0
540,150,5437463293.684211,0.0
200,110,5452680976.052631,0.0
140,210,4203604363.285714,0.0
120,110,3314005700.484375,0.0
120,190,3343826222.7419353,0.0
300,150,5448524681.763158,0.0
540,230,5448002058.368421,0.0
200,170,5447160930.105263,0.0
120,170,3350178678.129032,0.0
200,230,5485954911.105263,0.0
540,130,5559469649.945946,0.0
300,170,5558398768.7027025,0.0
160,190,5048297570.756098,0.0
120,230,3334270304.967742,0.0
180,170,5461036479.342105,0.0
120,210,3335061825.66129,0.0
140,110,4156177670.24,0.0
300,250,5463606486.236842,0.0
180,230,5552620050.081081,0.0
180,210,5458861016.0,0.0
140,230,4212803526.612245,0.0
160,230,4819769755.651163,0.0
160,110,5029066404.097561,0.0
200,210,5554807604.513514,0.0
200,130,5564118645.459459,0.0
300,210,5477015790.894737,0.0
160,150,4866641348.093023,0.0
180,150,5454897889.684211,0.0
120,130,3358304325.048387,0.0
