CPU Power Cap,GPU Power Cap,IPS,FLOPS,Performance
120,110,0.5807980239038169,0.9830440547604126,0.5686862007411303
120,130,0.5811661785294315,0.9215728909524237,0.5764207745556439
120,150,0.49071911153208875,0.8344098674477402,0.47798693634988887
120,170,0.585698775258225,0.8581942877607664,0.583284807982819
120,190,0.5816193525746811,0.8964864484606627,0.5818573239753821
120,210,0.5851571280802342,0.9180853467718899,0.5832204658390195
120,230,0.5791973505320127,0.9368767293827729,0.5810292410926674
120,250,0.5848700934493983,0.7481272569910766,0.5846865047536208
140,110,0.7263690306697153,0.8609810743170937,0.7102055604535493
140,130,0.7226576487533336,0.9257532541174764,0.7178589703269702
140,150,0.7132864630245576,0.8324912917983023,0.7158758129503676
140,170,0.7377899090117118,0.8661868095792352,0.7459336221278315
140,190,0.7271585240398641,0.7166391670823581,0.7236513264558662
140,210,0.723564636964263,0.9162094061368841,0.7239184453090503
140,230,0.7091456775512135,0.9302789608994283,0.7118987150308282
140,250,0.7138026476648872,0.9378189632017191,0.721520730132479
160,110,0.8745036074307969,0.8612326209022422,0.8444327825188334
160,130,0.8632065930230116,0.9256743793407773,0.8560447715739428
160,150,0.8715306523884833,1.0,0.8638079276325534
160,170,0.7474408167904322,0.8655675359946109,0.7361801872445896
160,190,0.8587048848210349,0.8946531428400889,0.8601099727666021
160,210,0.8640007726635607,0.9160218120733835,0.871899719413085
160,230,0.8655521883244313,0.9208736767157395,0.8699650667000707
160,250,0.8600733111618255,0.9306818617858104,0.8700980004871395
180,110,0.9822915359644404,0.8596604547450639,0.9545008229001624
180,130,0.9821432640004195,0.9258321288941757,0.9823574773489919
180,150,0.9892615372704191,0.6668116257157355,0.9853305096302024
180,170,0.9768998814276479,0.8659214066143961,0.978185490108687
180,190,0.9864281160733638,0.8964864484606627,0.9886195326608461
180,210,0.9856049885578655,0.7314185948351942,0.9876387953330129
180,230,0.9836044759124251,0.7482423715300427,0.9880961755685613
180,250,0.9854191247600707,0.9470174675654128,0.989809413243049
200,110,0.9881861792387213,0.8609181876708066,0.960959329665719
200,130,0.9827667946109457,0.6172740024472498,0.9850665622494478
200,150,0.993071588831792,0.8342819624044443,0.9890353736967571
200,170,0.9807584847964816,0.8641520535154701,0.9848359798762575
200,190,0.9547113652672189,0.8968531095847776,0.9562619612851984
200,210,0.9898154329396055,0.9158342180098828,0.9951476574212986
200,230,0.9808109096247982,0.7377115229653506,0.9952897650376178
200,250,0.9902344864553541,0.9452182699563845,1.0
300,110,0.9863151932575993,0.9551025116287002,0.9617676709242561
300,130,0.9863878856282685,0.7706065683503233,0.9798702463880831
300,150,0.992112171009713,0.8322354817117106,0.9885469716273636
300,170,0.9917812379520018,0.8641936226545412,0.9923320161816447
300,190,0.9880940436980328,0.71297255584121,0.9900248860149984
300,210,0.9757264950806608,0.9123722548380081,0.9864773846585734
300,230,0.9864092168887416,0.9347918771770503,0.9975611850889501
300,250,0.985278534481358,0.9454016005184417,0.997560114398175
540,110,1.0,0.739043867166349,0.9685908513394622
540,130,0.8483744698310695,0.7663473304085713,0.8308860941040797
540,150,0.9808030260961526,0.8324060217694385,0.9814415097253075
540,170,0.9932315404877693,0.7616180414327071,0.9927100122097805
540,190,0.9763050050164077,0.8947448081211176,0.9890801541184039
540,210,0.9856675100124974,0.7336803823508095,0.9959461521511253
540,230,0.986653943486628,0.9287696813885371,0.997393275929331
540,250,0.9836873389125432,0.9369172326464834,0.9974342244053737
