CPU Power Cap,GPU Power Cap,IPS,FLOPS
160,250,8173799910.034483,0.0
160,170,7915445762.566667,0.0
180,250,9449004311.758621,0.0
180,130,9425375466.28125,0.0
540,210,8972632684.966667,0.0
540,110,9398272253.805555,0.0
200,150,9038318221.612904,0.0
540,170,8933123775.633333,0.0
180,110,8944682620.88889,0.0
160,210,8336878330.24138,0.0
180,190,8983812544.1,0.0
140,130,6934262400.774194,0.0
140,150,6796481428.466666,0.0
140,190,6688856985.862069,0.0
300,110,9007912743.083334,0.0
200,250,9261980374.51724,0.0
540,250,8615309467.965517,0.0
200,190,8874584431.633333,0.0
120,150,5606438479.793103,0.0
300,190,9209163352.533333,0.0
120,250,5681748997.185185,0.0
300,130,9108883820.65625,0.0
300,230,9553373536.068966,0.0
140,170,6715387709.344828,0.0
540,190,9168932828.666666,0.0
160,130,8196599551.67742,0.0
140,250,6736219001.535714,0.0
540,150,8868885105.225807,0.0
200,110,9239580751.583334,0.0
140,210,6838890369.827586,0.0
120,110,5623582300.941176,0.0
120,190,5644655350.107142,0.0
300,150,9226317910.903225,0.0
540,230,9143873924.034483,0.0
200,170,9444314139.266666,0.0
120,170,5525677959.206897,0.0
200,230,9545215573.48276,0.0
540,130,9352479736.59375,0.0
300,170,9604558921.166666,0.0
160,190,7736562221.633333,0.0
120,230,5645741391.107142,0.0
180,170,9313651908.266666,0.0
120,210,5403761195.785714,0.0
140,110,6716414727.828571,0.0
300,250,9018929764.310345,0.0
180,230,9146464937.172413,0.0
180,210,8970636666.666666,0.0
140,230,6659816316.071428,0.0
160,230,8271861652.896552,0.0
160,110,8388020308.885715,0.0
200,210,9285617103.7,0.0
200,130,9074650096.71875,0.0
300,210,9165790969.633333,0.0
160,150,8107241031.3,0.0
180,150,9246222750.903225,0.0
120,130,5652485551.033334,0.0
