CPU Power Cap,GPU Power Cap,IPS,FLOPS,Performance
120,110,0.5713728756420083,0.760163382763802,0.7141795273716991
120,130,0.5502751898104589,0.8286653858013935,0.7998851960650197
120,150,0.5595766101253092,0.9532591774379259,0.8282533211526909
120,170,0.5549491468655866,0.6843266530741061,0.8519454109421809
120,190,0.5503584229833435,0.8818015428186758,0.8631853711059992
120,210,0.5235018582038953,0.9164697792127796,0.8705370218650572
120,230,0.5678577643870462,0.9507896163362326,0.892574089095123
120,250,0.5698536355535555,0.9563037146762242,0.8809503588146609
140,110,0.6999447132366524,0.9013740231685577,0.740210124422551
140,130,0.694821523402689,0.7916689601750309,0.8406796815681393
140,150,0.6955891422596595,0.7558186980112036,0.8664876842222067
140,170,0.6857164870234269,0.8393658287361474,0.8850150038709967
140,190,0.6582485855099475,0.880208399489563,0.9091317448473666
140,210,0.69544061159504,0.900052366918678,0.9149999764343516
140,230,0.7261616331248759,0.8777414379976526,0.9260895830285671
140,250,0.7054098467138098,0.9461247138793051,0.9251127405460313
160,110,0.865658970529315,0.8719834420391295,0.7626159010318517
160,130,0.864499942274203,0.9082742923226408,0.8496575013522696
160,150,0.7980774172065189,0.9004581255895702,0.8907897256278884
160,170,0.8085979995255127,0.9620538053594453,0.908750899545713
160,190,0.8850056062302997,0.8834621994941113,0.9311820053930835
160,210,0.8114636556734997,0.8891159632418371,0.9211377124356483
160,230,0.8315542800884501,0.8701444335045541,0.9498301404314698
160,250,0.8271280748943483,0.8271595514396106,0.9271574164129054
180,110,0.9731592062590044,0.8500709453135693,0.7645337394568452
180,130,1.0,0.9081588450326589,0.8752197918812202
180,150,0.8861223765873095,0.8650250617102537,0.9127643672200062
180,170,0.9143799426947078,0.7517166900751022,0.9301298541199438
180,190,0.9444851955230151,0.6706209398155525,0.9580518573108209
180,210,0.9435175842142919,0.8736357144324695,0.9566611665452005
180,230,0.9004217187816753,0.8438432449405079,0.9792689174462021
180,250,0.9008238121052664,1.0,0.992619410368725
200,110,0.9876734166085227,0.7388138570670975,0.7702336797817095
200,130,0.9864326597188018,0.7812643039349461,0.8870069829425473
200,150,0.8938853782629738,0.9895293056879864,0.9264762758060344
200,170,0.9982326972338282,0.7504583907896853,0.9369855929573511
200,190,0.9466965355791335,0.8839911493981389,0.9528845599556877
200,210,0.9606372578928147,0.9664125576101513,0.9599315166491047
200,230,0.9434465076546058,0.8431910655493304,0.979209961026424
200,250,0.9269799803120449,0.8887325781799004,0.981235880534434
300,110,0.938994079112939,0.7616738957579067,0.7734862315871781
300,130,0.9711154938905829,0.8408769521312696,0.8838647943914337
300,150,0.9451171130061281,0.8318871056565559,0.9239180237683967
300,170,0.9694422740326997,0.9032202034992834,0.9401719544061321
300,190,0.9756407616563652,0.8662352823520428,0.959890988399616
300,210,0.9923393208974043,0.9411609560904403,0.9604855043901281
300,230,0.9431555557134553,0.9648466627820437,0.9889223191685079
300,250,0.9495622541537128,0.824536403795262,1.0
540,110,0.9450276441998996,0.740851523689756,0.7658087143500397
540,130,0.9857689768104209,0.6206930006494551,0.8870476409536067
540,150,0.9222139631163422,0.9230313207090639,0.9141495355445185
540,170,0.9407598340336235,0.8665916151727019,0.9419064070503597
540,190,0.9552291710572482,0.8917548981517378,0.9581075220974646
540,210,0.9737080092081123,0.8661899263963319,0.9713621903071159
540,230,0.9558277003063219,0.9922674083097798,0.9846092189082962
540,250,0.9257841652792329,0.8636825320740829,0.9914533400261991
