Time (s),Package Power (W),DRAM Power (W)
0.5008113384246826,116.740056,16.638628
1.0018107891082764,116.61921,16.506436
1.502774953842163,116.669136,17.056716
2.003767490386963,116.579778,17.588726
2.504795789718628,116.557808,17.531993999999997
3.0057971477508545,116.703314,17.712657999999998
3.5068130493164062,116.55378,17.486644
4.007761716842651,116.671088,17.116416
4.508739709854126,116.681096,16.459832
5.009617567062378,116.516914,16.440706
5.510494947433472,116.518134,16.395298
6.011375427246094,116.73078,16.462646
6.512245655059815,116.47419,16.398694
7.01311182975769,116.672796,16.397682000000003
7.513980150222778,116.613106,16.513812
8.015077590942383,116.623482,16.440674
8.515986919403076,116.457218,16.43257
9.016874074935911,116.696968,16.421704
9.51778268814087,116.604194,16.450097999999997
10.018657445907593,116.54267,16.48003
10.51959228515625,116.726874,16.35928
11.020484209060667,116.614326,16.391593999999998
11.521456003189089,116.677558,16.447866
12.022405624389648,116.4394,16.352334
12.523342847824097,116.683416,16.444043999999998
13.024297952651978,116.785102,16.345142
13.525187969207764,116.426338,16.400896
14.026118516921995,116.711858,16.445174
14.526731491088867,116.425118,16.412096
15.027694702148438,116.681586,16.481498000000002
15.5286545753479,116.661322,16.4654
16.02954602241516,116.525704,16.474518
16.53049373626709,116.596136,16.414056000000002
17.03140902519226,116.616278,16.548112000000003
17.532390594482422,116.706856,16.509282
18.03335237503052,116.505072,16.43116
18.534252166748047,116.610296,16.571736
19.0352144241333,116.60859,16.430667999999997
19.53615403175354,116.657416,16.52596
20.037071228027344,116.748724,16.4755
20.537961959838867,116.445624,16.415186
21.03892683982849,116.68183,16.444532
21.53986358642578,116.666206,16.428008
22.040768146514893,116.525948,16.445816
22.54169487953186,116.605292,16.406954
23.04263734817505,116.674994,16.441809999999997
23.543599367141724,116.584174,16.40561
24.044545650482178,116.674016,16.454138
24.54549288749695,116.529,16.450194
25.04640030860901,116.56855,16.404446
25.547306060791016,116.716376,16.51537
26.04826498031616,116.629582,16.437829999999998
26.54914879798889,116.61628,16.401876
27.050114393234253,116.531562,16.413718
27.551074028015137,116.681344,16.470999999999997
28.05197191238404,116.625676,16.499796
28.55289912223816,116.498604,16.390982
29.05379343032837,116.63996,16.525406
29.55476307868957,116.716132,16.461822
30.055704355239868,116.528754,16.48725
30.55658984184265,116.546942,16.425344
31.05752778053284,116.652168,16.443402
31.55845808982849,116.67365,16.418306
32.05942416191101,116.6457,16.422712
32.56036424636841,116.460638,16.468034000000003
33.06129693984985,116.625068,16.477612
33.56228852272034,116.717474,16.444316
34.06322383880615,116.579536,16.51574
34.564220666885376,116.596258,16.55102
35.06516361236572,116.723456,16.490552
35.56614637374878,116.470162,16.450836
36.06709957122803,116.685616,16.438166000000002
36.56802225112915,116.50556,16.516227999999998
37.0689902305603,116.67536,16.527487999999998
37.5699143409729,116.58857,16.525440000000003
38.070878982543945,116.689642,16.403986
38.57180380821228,116.68415,16.455976
39.072702169418335,116.534734,16.480702
39.57369446754456,116.584054,16.448662
40.07461929321289,116.673772,16.43627
40.57559156417847,116.668768,16.395020000000002
41.07650542259216,116.61384,16.446644
41.57744574546814,116.484074,16.431038
42.07841420173645,116.48945,16.36754
42.57936644554138,116.757268,16.497318
43.08031678199768,116.567206,16.423694
43.58122611045837,116.68293,16.443918
44.082160234451294,116.62116,16.423786
44.583131313323975,116.659492,16.4822
45.08411765098572,116.671942,16.55769
45.58506393432617,116.50068,16.432048
46.08599209785461,116.678168,16.48526
46.58695030212402,116.599676,16.486454000000002
47.08790397644043,116.64643,16.502734
47.58888864517212,116.475044,16.45371
48.08983373641968,116.696722,16.467636
48.59074902534485,116.571724,16.515554
49.091705322265625,116.758124,16.553774
49.59262275695801,116.565986,16.5128
50.09359288215637,116.573188,16.45564
50.59453868865967,116.632514,16.472223999999997
51.0955023765564,116.616036,16.504446
51.59645938873291,116.695746,16.353498000000002
52.09736323356629,116.475898,16.474336
52.59832525253296,116.622504,16.433088
53.09921431541443,116.70429,16.442847999999998
53.60017848014832,116.47712,16.463352
54.10112237930298,116.746892,16.48367
54.602030515670776,116.556342,16.512524
55.1029999256134,116.656684,16.445908
55.60392951965332,116.615912,16.463932
56.10491991043091,116.519112,16.460016000000003
56.60586810112,116.696234,16.458148
57.10682034492493,116.588568,16.440524
57.60779047012329,116.67829,16.431066
58.10870695114136,116.69648,16.540342
58.6096613407135,116.53449,16.500898
59.11058974266052,116.541084,16.426906
