Time (s),IPS
5.14984130859375e-05,7581155581
1.1362292766571045,7956872613
2.2922351360321045,5538423248
3.437378406524658,7668213510
4.574470281600952,7526025431
5.700566053390503,7643791187
6.8307976722717285,7721859919
7.961587190628052,7694009649
9.092381477355957,7753200188
10.222527503967285,7753745031
11.351698398590088,7669663052
12.480855941772461,7807215292
13.604809999465942,7668477173
14.732060194015503,7630248451
15.86416506767273,7759691882
17.005249500274658,9487718579
18.14826202392578,9861598409
19.30643916130066,9765854488
20.466351985931396,9790039837
21.62851333618164,4259660544
