Time (s),IPS,Memory Throughput (MB/s)
0.0004298686981201172,1384733436,650.5390320000001
1.211742877960205,2405157696,4169.940515
2.402867078781128,3267001617,6422.4056988
3.5909500122070312,6095383502,1347.8027888
4.778773784637451,6216246841,147.4093764
5.962657928466797,6166016943,289.0830202
7.146739482879639,6262013685,88.15412060000001
8.354686975479126,6198033253,50.625442400000004
9.538816690444946,6251159249,59.863432200000005
10.71474814414978,6153784043,63.701235000000004
11.894814014434814,6194561289,68.16818579999999
13.10216474533081,6243041632,60.786182600000004
14.3129141330719,6174004819,61.079785
15.509337663650513,6280728503,41.240651400000004
16.70052170753479,6149907769,54.7463618
17.878888368606567,6250629834,68.9336492
19.09110188484192,6232302911,60.555495
20.274890422821045,6188447780,59.559344
21.462899923324585,6200766739,52.60725860000001
22.650837182998657,6153139282,34.82334180000001
23.83489418029785,6232650806,65.45236360000001
25.02290391921997,6191802728,57.53558460000001
26.20684576034546,6321859918,57.588013600000004
27.406890153884888,6174661531,54.284986599999996
28.590723037719727,6208071108,54.47373100000001
29.79686403274536,6164245538,45.7285738
30.98680591583252,6198867985,44.333962400000004
32.17074179649353,6181549675,56.8225502
33.35887360572815,6154554814,56.04660100000001
34.538877964019775,6269370189,55.2916234
35.73087120056152,6175656956,52.21928400000001
36.91895008087158,6274359579,46.5884094
38.114699840545654,6185589595,34.980628800000005
39.29869365692139,6220433504,63.8899794
40.50612664222717,6163123840,55.48036780000001
41.714842081069946,6176205916,53.59292380000001
42.908575773239136,6181525886,59.9158612
44.09686994552612,6198024710,45.83343180000001
45.28480839729309,6185860164,32.33820720000001
46.478983879089355,6182744364,54.12769960000001
47.662691593170166,6272315442,55.784456000000006
48.84677028656006,6203916985,55.260166000000005
50.030691146850586,6182422921,53.83409720000001
51.23591160774231,6163169349,65.45236360000001
52.40683460235596,6204439033,35.04354360000001
53.5987389087677,6177122886,52.837946200000005
54.800816774368286,6138540859,57.556556199999996
55.9788658618927,6242944978,52.481429
57.17089796066284,6155664748,52.04102540000001
58.36083960533142,6254378080,59.60128720000001
59.56079602241516,6224302019,43.05469480000001
60.74472212791443,6175470688,42.6981776
61.93674278259277,6186039828,50.7932152
63.12485480308533,6227527556,54.379358800000006
64.31283664703369,6234001767,54.0752706
65.51280426979065,3570107773,77.175488
