Elapsed Time (s),IPS
4.792213439941406e-05,9168576451
1.160276174545288,8844972651
2.3249762058258057,9081646199
3.492584228515625,9234084172
4.650699615478516,9109692551
5.812685251235962,8969656645
6.97866153717041,9057434018
8.140539407730103,8954319458
9.284823417663574,9073910276
10.445122957229614,8916431682
11.59286880493164,9014138661
12.756372928619385,9040226524
13.926959991455078,9022143853
15.073028564453125,8258970165
16.243175983428955,8086390256
17.40105700492859,8263180476
18.55918836593628,8152447193
19.72412633895874,8199285785
20.87303328514099,8216496014
22.051207065582275,8132262397
23.215343713760376,8315523788
24.399332523345947,8120634867
25.549033403396606,8117951395
26.697049856185913,8370912652
27.871174812316895,8160668117
29.051204681396484,6209625616
