Elapsed Time (s),IPS
6.556510925292969e-05,8656968767
1.184816837310791,8167640228
2.357182025909424,8238441739
3.512974739074707,8562057642
4.680938482284546,8370163592
5.853064775466919,8348836894
7.023214101791382,8345641937
8.173064231872559,8254756795
9.353875160217285,8308712100
10.53127121925354,8226661881
11.68901801109314,8262517409
12.87306523323059,8066633083
14.033035039901733,8193150299
15.204727172851562,8078977334
16.373027801513672,8158184602
17.551254272460938,8136892573
18.696183919906616,8013187950
19.84004259109497,8186914775
21.03197932243347,8063936660
22.194376468658447,8166422961
23.34640884399414,8069012858
24.500754833221436,8111168540
25.693023681640625,8089896972
26.847093105316162,1450910537
