Time (s),IPS
5.245208740234375e-05,9172297693
1.1871588230133057,8714527731
2.370039939880371,8638923440
3.5584070682525635,8981475805
4.712947130203247,8896489071
5.865476608276367,9008452484
7.034218072891235,8951626175
8.184799909591675,8814281029
9.340875625610352,8936234724
10.49577784538269,8847768951
11.64073371887207,8996852210
12.809876918792725,8879942243
13.964826345443726,8287620804
15.145455121994019,8240390809
16.288729190826416,8216205112
17.43277931213379,8306485402
18.580713510513306,8246171593
19.740749835968018,8194120596
20.89278793334961,8293758249
22.054489135742188,8205126786
23.208762168884277,8185081333
24.37048029899597,8193305141
25.53491997718811,8132895527
26.6808180809021,8373288276
27.845060110092163,3575152503
