Elapsed Time (s),IPS
6.031990051269531e-05,9046484341
1.1784722805023193,8985635036
2.3368029594421387,9061542422
3.5009372234344482,9067941659
4.6528284549713135,8842881271
5.808827877044678,8886614015
6.986586570739746,8812812965
8.140854358673096,8789280073
9.288782358169556,8905504318
10.448786735534668,8740839024
11.596627950668335,8795764557
12.774423360824585,8834162557
13.930459976196289,8249645198
15.094418287277222,8410887844
16.258495330810547,8133491082
17.426460027694702,8379114556
18.60263180732727,8235730381
19.758404970169067,8169545227
20.910369157791138,8321651552
22.090349674224854,8147906784
23.26226544380188,8305605575
24.430476188659668,8157437766
25.583102226257324,8177728783
26.73606514930725,8306586488
27.90641951560974,5367475989
