Elapsed Time (s),IPS
0.00011420249938964844,5197819777
1.2509701251983643,5099008932
2.5223050117492676,5076568612
3.737111806869507,5252885662
4.980584383010864,5224506759
6.209308385848999,4909838170
7.442626237869263,4981005447
8.67314863204956,4950757011
9.889472723007202,4991061092
11.127651929855347,4960257955
12.34556269645691,5060017846
13.602040529251099,5014860315
14.825148105621338,4957331808
16.091443061828613,4763266781
17.297423124313354,4939722217
18.522071361541748,4780204287
19.729573488235474,4895978752
20.956004858016968,4818033333
22.172977924346924,4880907368
23.397650480270386,4846119433
24.625520706176758,4912296383
25.87187957763672,4772568713
27.087088346481323,4888040184
28.333429098129272,4810200019
29.55294132232666,4876113007
30.805705308914185,4812735748
32.017653465270996,4832265787
33.2588427066803,4839456303
34.47313642501831,4808351462
35.69103121757507,4843927798
36.90143871307373,4771331023
38.119455337524414,3755179267
