Elapsed Time (s),IPS
5.125999450683594e-05,9253240848
1.1742641925811768,9156051316
2.332097291946411,9091883276
3.496967077255249,9195104122
4.658321380615234,9010634378
5.822430372238159,9191440760
6.976725339889526,8936024698
8.134502649307251,9129574715
9.310590982437134,9045654779
10.462474822998047,8973799366
11.614536762237549,9084978705
12.812787532806396,9050384652
13.984806776046753,8385663621
15.168812274932861,8256112787
16.324626922607422,8275387717
17.49672245979309,8208073169
18.664398670196533,8156572736
19.80848503112793,8381548004
20.964460849761963,8179490016
22.120733976364136,8203807632
23.29267430305481,8245272831
24.460613250732422,8145399179
25.60871958732605,8353849275
26.76848793029785,8144148172
27.920563220977783,4229578101
