CPU Power Cap,GPU Power Cap,IPS,Memory Throughput,SM Clock,DRAM Active,FP16 Active,FP32 Active,FP64 Active,Performance
120,150,0.6165088809604987,0.5448027143215554,0.8543147208121827,0.534274193548387,0,0,0,0.6153264895412068
120,160,0.629709552595135,0.5681857746417345,0.8604060913705583,0.1910016977928693,0,0,0,0.6349121256753535
120,170,0.6365746433239698,0.5627569387189747,0.8805154236626317,0.34119106699751856,0,0,0,0.6249219402047689
120,180,0.6113445366422158,0.5445344200026875,0.8482233502538071,0.44354838709677413,0,0,0,0.6153005452156504
120,190,0.6286044748919116,0.5510286136033896,0.8844201483795393,0.6720430107526881,0,0,0,0.6249457461525192
120,200,0.6376787454723245,0.539379234287514,0.8539632955876612,0.2791563275434243,0,0,0,0.6249043913351301
120,210,0.6165072744460683,0.5438407332305284,0.865736040609137,0.282258064516129,0,0,0,0.6060182013651493
120,220,0.6147380820967917,0.5477008293476644,0.8246192893401015,0.18145161290322578,0,0,0,0.6059347590652776
120,230,0.6138095617354883,0.541552134209875,0.8843908629441625,0.6754032258064515,0,0,0,0.615271706236405
120,240,0.6125520247587587,0.5736945362934727,0.8531823506442795,0.43424317617866004,0,0,0,0.6152720215988429
120,250,0.5986868347274812,0.5620611475642957,0.8565061285130617,0.15735641227380015,0,0,0,0.5882359851087207
130,150,0.6625291151550123,0.5902804395106552,0.8515571408972424,0.3269398430688753,0,0,0,0.6666875334687041
130,160,0.6701497219537467,0.5932088766428676,0.8437371381533818,0.23975588491717525,0,0,0,0.6557086252877927
130,170,0.647486354396424,0.6238237107085978,0.8576008549292011,0.7215619694397283,0,0,0,0.6450949753753443
130,180,0.66753563523402,0.6092515029471759,0.8663739882013993,0.33783783783783783,0,0,0,0.6666380794172987
130,190,0.6897584794511291,0.5872781610977414,0.8904399323181049,0.6832437275985662,0,0,0,0.6779371328357797
130,200,0.6971072474875321,0.5952736103062152,0.8849407783417935,0.492831541218638,0,0,0,0.6778934607835665
130,210,0.6978560887088018,0.5816648683675196,0.8845177664974619,0.7616487455197132,0,0,0,0.6779880204718587
130,220,0.6644015009051344,0.6149047334683932,0.8861297846069419,0.642981691368788,0,0,0,0.655700873406659
130,230,0.690441096397665,0.5826375513176708,0.8675972927241963,0.22401433691756273,0,0,0,0.6779755371692779
130,240,0.6814811514925617,0.587306359851844,0.8807106598984772,0.5712365591397849,0,0,0,0.6779657182424405
130,250,0.6580797432557857,0.5938059939643062,0.8737824118534778,0.44681778552746293,0,0,0,0.6667076715679425
140,150,0.7489555266271691,0.7752834373374088,0.8845924156464616,0.7471537001897534,0,0,0,0.7142173492584724
140,160,0.665916031975561,0.7490383312503123,0.8437273386511965,0.3552227342549923,0,0,0,0.5796817058769017
140,170,0.7305628440794516,0.6952023661968612,0.8703276419012459,0.5498533724340174,0,0,0,0.7407209907614526
140,180,0.7355615045653267,0.6759994838755145,0.8778739922364885,0.41508538899430736,0,0,0,0.7272803911045028
140,190,0.761489128565252,0.650054516536317,0.8957083525611444,0.32991202346041043,0,0,0,0.7547438887631346
140,200,0.7478386242409365,0.6614128860731723,0.8665926395939086,0.4284274193548387,0,0,0,0.75474853252849
140,210,0.7462982538868105,0.6669356642840529,0.853743654822335,0.7182459677419355,0,0,0,0.7547160070349443
