CPU Power Cap,GPU Power Cap,IPS,Memory Throughput,SM Clock,DRAM Active,FP16 Active,FP32 Active,FP64 Active,Performance
120,150,0.5998734455680198,0.7693589364396818,0.4030748663101604,0.751572965293282,0,0.9458631256384064,0,0.7331087836685675
120,160,0.6051763183238869,0.7881700023004371,0.5426136363636364,0.8026309113050538,0,0.7770684371807965,0,0.7854779978967973
120,170,0.6091071742439624,0.8549463878656426,0.6136363636363636,0.8590758406061837,0,0.684167517875383,0,0.8458710940669151
120,180,0.5787800399928753,0.894901394901395,0.6871212121212121,0.9128746363574859,0,0.6274429690160026,0,0.8798356224896156
120,190,0.6075483020436143,0.9288842880147228,0.7930194805194805,0.9345443474731076,0,0.5196994017218733,0,0.9165126910871866
120,200,0.6123536185839433,0.8694153603470373,0.8636363636363636,0.9301129828834314,0,0.4966292134831459,0,0.9164625577531784
120,210,0.611151511510635,0.9339232311282,0.8946969696969697,0.9309654285907583,0,0.4653728294177733,0,0.9165411230147025
120,220,0.6137500425250882,0.8780682901179794,0.9131493506493507,0.9737162573574182,0,0.46264409747555824,0,0.9165547942370125
120,230,0.6071940869486703,0.8739183016201649,0.9492424242424242,0.9466883160814561,0,0.43064351378958127,0,0.916407759095975
120,240,0.6048610041586454,0.937842518649972,0.9742424242424242,0.9343752114200664,0,0.4190670752468506,0,0.9163815525688704
120,250,0.6090323399862709,0.9443668868513588,1.0,0.9423313713551181,0,0.40980592441266606,0,0.9164732456181843
130,150,0.6202727849492757,0.7636427294812387,0.4278074866310161,0.7536622930073187,0,0.940755873340143,0,0.7584420353713147
130,160,0.6204711426465855,0.7865692814968177,0.5142045454545454,0.8115993505175564,0,0.7618743615934626,0,0.8145422577995394
130,170,0.6354595239697973,0.847593951941778,0.6386363636363637,0.8605912996414316,0,0.6818522301668369,0,0.8459804108363436
130,180,0.6663939494033876,0.8439357192152223,0.6826298701298701,0.9031865232392938,0,0.6102436888953741,0,0.916529451894962
130,190,0.6430400292940284,0.9338101810772619,0.7913961038961038,0.9348487923685813,0,0.5134977382168391,0,0.9164087768554182
130,200,0.6465404438747562,0.9348069276019587,0.8701298701298702,0.9376902780596712,0,0.4824894206916678,0,0.9563423949698407
130,210,0.6392844867217548,0.9258690722665878,0.8766233766233766,0.9378932413233203,0,0.45768276667153074,0,0.9164401104129537
