Time (s),Package Power (W),DRAM Power (W)
0.5008385181427002,116.63923,16.67795
1.0018057823181152,116.51740000000001,16.714668
1.502530574798584,116.684638,16.752826
2.0033957958221436,116.541572,16.74738
2.5041615962982178,116.49311,16.76213
3.005077600479126,116.76447200000001,16.792361999999997
3.5059661865234375,116.45770999999999,16.69799
4.006702899932861,116.678656,16.799492
4.507608652114868,116.52802199999999,16.791444
5.0083534717559814,116.643866,16.817026
5.509150505065918,116.447944,16.697716
6.009989500045776,116.52668,16.6688
6.5108137130737305,116.740668,16.849492
7.011820077896118,116.641424,16.814944
7.512610673904419,116.46552199999999,16.840954
8.013334274291992,116.624336,16.859776
8.514163970947266,116.64484200000001,16.832998
9.015003681182861,116.507636,16.835998
9.515935182571411,116.68525,16.862617999999998
10.01675295829773,116.46039400000001,16.841630000000002
10.517485857009888,116.63544200000001,16.875778
11.018312692642212,116.577218,16.829448
11.519245386123657,116.714668,16.859254
12.020164966583252,116.440984,16.766168
12.520995855331421,116.684762,16.836669999999998
13.021766185760498,116.507636,16.856898
13.522580862045288,116.738224,16.88866
14.0234854221344,116.45173,16.805828
14.524385213851929,116.699652,16.835598
15.025236129760742,116.493476,16.829296
15.52601408958435,116.690498,16.85855
16.026769638061523,116.642156,16.864516000000002
16.52768635749817,116.403634,16.791628
17.028584003448486,116.67865599999999,16.895546
17.529419422149658,116.491522,16.892392
18.03015446662903,116.74835999999999,16.871678
18.53097176551819,116.56037,16.852368
19.031923055648804,116.47773000000001,16.857264
19.532628774642944,116.711006,16.847016
20.033446550369263,116.40888000000001,16.74888
20.53419589996338,116.763374,16.730732
21.034958362579346,116.581976,16.773574
21.535895586013794,116.53961799999999,16.718586000000002
22.036587715148926,116.66901200000001,16.865648
22.5375075340271,116.450144,16.838108
23.038320779800415,116.68024199999999,16.803044
23.539214849472046,116.598456,16.853406
24.04010820388794,116.51715999999999,16.830278
24.540805339813232,116.59992,16.887496
25.041676998138428,116.591742,16.882204
25.54239773750305,116.530828,16.836731999999998
26.04326295852661,116.727486,16.871432
26.54412341117859,116.5196,16.853133999999997
27.04485821723938,116.672186,16.880703999999998
27.54574179649353,116.473578,16.864729999999998
28.046493768692017,116.65302199999999,16.87584
28.547317504882812,116.51544799999999,16.885080000000002
29.048219680786133,116.490426,16.830244
29.549013137817383,116.823064,16.968035999999998
30.049970865249634,116.59626,17.674806
30.550771713256836,116.503974,17.548886
31.05150079727173,116.56977,17.421008
31.552411317825317,116.49128,17.56945
32.053152561187744,116.72724,17.494998000000002
32.554062604904175,116.60822200000001,17.475722
33.05486249923706,116.565618,17.439796
33.55559015274048,116.59113400000001,17.439858
34.056506395339966,116.52997400000001,17.429668
34.557222843170166,116.431952,17.395856000000002
35.05800437927246,116.637764,16.867576
35.558743476867676,116.539864,16.872932
