CPU Power Cap,GPU Power Cap,IPS,FLOPS,Performance
120,110,0.5801480656845814,0.5639609360049095,0.6224839338528881
120,130,0.5795962244804347,0.6803823659064699,0.7448813988075585
120,150,0.592452850465066,0.6444021597575551,0.789944214502036
120,170,0.5743441974010918,0.7595694757535927,0.8122281437621228
120,190,0.549480830250244,0.6845371885676671,0.8212445010673897
120,210,0.5668624302843186,0.8450977077179409,0.8493455094951702
120,230,0.5490142815393841,0.8284843740999078,0.8711710259401766
120,250,0.5646253588244462,0.8323542719359237,0.896512935105205
140,110,0.7134417733833145,0.6771051434597015,0.6406663903735349
140,130,0.7094408990787685,0.6551309230362168,0.7627633970344262
140,150,0.680538244890787,0.5964714717517758,0.8161307135360587
140,170,0.7105210582743893,0.6811293622615702,0.8440057040536384
140,190,0.7212934333735227,0.745976388337222,0.8734956402480994
140,210,0.7076001766649906,0.7533917598248444,0.8926774231925657
140,230,0.7125307059464885,0.8316224321943535,0.913322338562592
140,250,0.7014534488566131,0.7578191324374599,0.9455127929835552
160,110,0.8638876269635172,0.6858369842238221,0.6559611882662572
160,130,0.861952825804873,0.7218276580561159,0.796513388639128
160,150,0.8759103643165662,0.7194586786886799,0.8413874351474423
160,170,0.8965910889610796,0.7485852969641074,0.8786443432568469
160,190,0.8606698412276529,0.737404909656997,0.8967942491387262
160,210,0.8829330295366075,0.762738297804395,0.9130241941979333
160,230,0.8521430531317652,0.7030973431115758,0.9354317032063622
160,250,0.8552776630081481,0.7909873865020743,0.958805046113519
180,110,0.9654813350904462,0.8828381395910113,0.6647293135786432
180,130,0.9929383081449635,1.0,0.8144325051656078
180,150,0.9563079852729328,0.68742676027332,0.8593012557275892
180,170,0.9691578603827988,0.7483806557722436,0.8890289802202592
180,190,0.9370034743299215,0.8539077096513003,0.916579355104766
180,210,0.9717694945007309,0.7611064424749909,0.9359572243114695
180,230,0.952576399008404,0.8397592833770142,0.9622876599090386
180,250,0.9572048317221977,0.6725834036050581,0.9971639826577317
200,110,1.0,0.7042848062631943,0.6711719384122173
200,130,0.9820156692329987,0.7574327699748576,0.8127715793929231
200,150,0.9709446286039043,0.7787719632734198,0.8586839043284418
200,170,0.9819077692527339,0.6833276497714421,0.8951054891355218
200,190,0.9273919805332231,0.8383739837004581,0.9227812777752027
200,210,0.9701459360030822,0.7479719754821292,0.9358308453851076
200,230,0.9576204946843978,0.7333759918340231,0.9657044461484945
200,250,0.9641464645908,0.8354313672111027,0.9998733635752639
300,110,0.9811302905187479,0.8164268137621055,0.6660993389999882
300,130,0.9849672899138405,0.6511946569930203,0.8166518434275777
300,150,0.9749624605812496,0.6613573850020876,0.8613328602504589
300,170,0.9816151288892688,0.832602650687869,0.8952455239973184
300,190,0.9438882223496772,0.7064282897996441,0.9288632861434664
300,210,0.970147898593324,0.7833752144941681,0.9340475277702461
300,230,0.9478280544004847,0.7864781056124808,0.9744676983796445
300,250,0.9769448857777299,0.7750675604534446,1.0
540,110,0.9591900963496577,0.634177843290048,0.6692325472160349
540,130,0.9736822812801282,0.7774100544291954,0.8153427229139896
540,150,0.9549997110994599,0.7884355994044748,0.8649920724607884
540,170,0.9803544116622569,0.8214727383347371,0.899634547688472
540,190,0.949242786312796,0.7960479866860755,0.9270875335548048
540,210,0.9605975180417671,0.8000898175670481,0.9385972319176589
540,230,0.9499061354112641,0.7804190088528685,0.9731004124551509
540,250,0.8541888499899533,0.7457712863251068,0.8579357020945381
