Time (s),SM Clock (MHz),SM Active,FP16 FLOPS (TFLOPS),FP32 FLOPS (TFLOPS),FP64 FLOPS (TFLOPS),Power (W)
0.5005841255187988,885.0,0.009,0.0,0.0,0.0,42.411
1.1049413681030273,1365.0,1.0,0.0,0.0,3.1512499200000002e-06,95.62
1.6663541793823242,1410.0,1.0,0.0,0.0,3.2161536e-06,104.405
2.234251022338867,1275.0,1.0,0.0,0.0,2.908224e-06,197.34
2.806330919265747,1230.0,1.0,0.0,0.0,2.8055808e-06,181.677
3.374171733856201,1230.0,1.0,0.0,0.0,1.4452992000000002e-06,181.581
3.9473977088928223,1245.0,0.009,0.0,0.0,0.0,157.965
4.51253604888916,1395.0,1.0,0.0,0.0,3.1819392000000003e-06,81.077
5.0750892162323,1395.0,1.0,0.0,0.0,3.1819392000000003e-06,78.82
5.646752595901489,1215.0,1.0,0.0,0.0,2.7713664000000004e-06,173.896
6.214895009994507,1230.0,1.0,0.0,0.0,2.62704384e-06,181.485
6.780754566192627,1230.0,0.722,0.0,0.0,5.1561474048e-07,182.253
7.355794429779053,1365.0,0.0,0.0,0.0,0.0,126.868
7.917513608932495,1245.0,1.0,0.0,0.0,2.8397952000000003e-06,211.764
8.485764980316162,1230.0,1.0,0.0,0.0,2.7715737600000004e-06,182.891
9.053117513656616,1230.0,1.0,0.0,0.0,1.3942886399999998e-06,182.95
9.618587255477905,1230.0,0.009,0.0,0.0,0.0,168.393
10.184048891067505,1395.0,1.0,0.0,0.0,3.1819392000000003e-06,87.01
10.746659278869629,1395.0,1.0,0.0,0.0,3.1819392000000003e-06,83.509
11.316221237182617,1230.0,1.0,0.0,0.0,2.8055808e-06,184.381
11.883095502853394,1230.0,1.0,0.0,0.0,2.7375667200000002e-06,183.371
12.45017695426941,1230.0,1.0,0.0,0.0,1.30076928e-06,180.212
13.024863004684448,1335.0,0.009,0.0,0.0,0.0,148.579
13.586282014846802,1365.0,1.0,0.0,0.0,3.1135104000000004e-06,134.726
14.153746604919434,1320.0,1.0,0.0,0.0,3.0108672000000003e-06,162.111
14.721972942352295,1410.0,0.0,0.0,0.0,0.0,70.113
15.282628774642944,1230.0,0.009,0.0,0.0,0.0,179.828
15.848496913909912,1395.0,1.0,0.0,0.0,3.1722969600000005e-06,97.73
16.410861253738403,1395.0,1.0,0.0,0.0,3.1819392000000003e-06,102.626
16.984280109405518,1230.0,1.0,0.0,0.0,2.8055808e-06,192.93
17.551645755767822,1230.0,1.0,0.0,0.0,2.7885772799999996e-06,184.67
18.118412017822266,1230.0,1.0,0.0,0.0,1.3772851200000002e-06,180.212
18.68635392189026,1290.0,0.009,0.0,0.0,0.0,160.011
19.24757671356201,1335.0,1.0,0.0,0.0,3.0450816e-06,148.144
19.812243223190308,1410.0,1.0,0.0,0.0,3.2161536e-06,79.5
20.38220238685608,1230.0,1.0,0.0,0.0,2.8055808e-06,180.115
20.948693990707397,1215.0,1.0,0.0,0.0,2.57821056e-06,178.459
21.518394231796265,1230.0,0.926,0.0,0.0,9.919513497600001e-07,180.608
22.084062576293945,1290.0,1.0,0.0,0.0,2.9424384000000004e-06,132.076
22.650460958480835,1230.0,1.0,0.0,0.0,2.8055808e-06,206.65
23.222764492034912,1230.0,1.0,0.0,0.0,2.6525491200000003e-06,182.157
23.7907657623291,1230.0,0.981,0.0,0.0,1.1676317184000002e-06,182.987
24.357360363006592,1260.0,0.009,0.0,0.0,0.0,159.866
24.921104192733765,1395.0,1.0,0.0,0.0,3.1819392000000003e-06,82.915
25.484710693359375,1395.0,1.0,0.0,0.0,3.1819392000000003e-06,78.638
26.060256719589233,1215.0,1.0,0.0,0.0,2.7713664000000004e-06,177.689
26.628216981887817,1230.0,1.0,0.0,0.0,2.5250227200000002e-06,178.663
27.194247722625732,1230.0,0.444,0.0,0.0,1.8118950912e-07,183.711
27.772260427474976,1335.0,0.009,0.0,0.0,0.0,119.348
28.33241367340088,1410.0,1.0,0.0,0.0,3.2161536e-06,124.111
28.899297952651978,1410.0,0.0,0.0,0.0,0.0,71.671
