CPU Power Cap,GPU Power Cap,IPS,Memory Throughput,Performance
120,250,0.6021580150135264,0.758394985555616,0.6162381742363632
130,250,0.6436160448827847,0.7516061419010635,0.6619210884742457
140,250,0.7322854805196299,0.8103295704278171,0.7486636853112525
150,250,0.8159077677494491,0.8599157180920072,0.828152565516522
160,250,0.8979086050961392,0.929020298483654,0.9115459461661327
170,250,0.9642663577301243,0.9061511304933658,0.9637100596248838
180,250,0.9941338725439404,1.0,0.9986383742307268
190,250,0.9986541666607631,0.9892717024252868,1.0
200,250,1.0,0.9736097256236828,0.9973418006411892
