Time (s),IPS
6.389617919921875e-05,4648885184
1.194031000137329,4894497718
2.4112398624420166,5078309636
3.596949338912964,4883845553
4.7916600704193115,4993243172
5.979686975479126,7666612867
7.161670446395874,8670903579
8.341571569442749,8688889633
9.549768924713135,8611437046
10.717764139175415,8755106958
11.877769947052002,8646072808
13.05753493309021,8702166519
14.241673231124878,2228676685
15.41387128829956,2114978962
16.59160351753235,2716256638
17.76965093612671,2869058339
18.945582389831543,3082126687
20.11768913269043,2189668589
21.317611694335938,2118622100
22.497525930404663,2275166622
23.691746711730957,6606845052
