Time (s),IPS,Memory Throughput (MB/s)
0.0,16185825501,84.16951660000002
1.1623692512512207,18791976824,76.34710980000001
2.3440332412719727,16955877012,61.97107800000001
3.5766956806182932,19131295691,480.7319868
4.760441541671753,19884902461,459.99107440000006
5.925425291061401,17173946436,227.437002
7.0946125984191895,19947702492,1106.7866758
8.328775644302368,17543467403,3909.7249022
9.495860576629639,17608524042,3822.315273400001
10.657915830612183,16638122215,4532.1305328
11.818755865097046,18313089212,3835.4644666
13.023696660995483,17896884966,4140.643189800001
14.24774956703186,17134726953,3940.1442080000006
15.407110691070557,19281831205,4150.531299200001
16.576494455337524,17034126476,4095.386477000001
17.72903561592102,18800164909,4112.0798706000005
18.93923330307007,17271210818,4321.4498392000005
20.112804651260376,18026907911,4172.719252000001
21.27224564552307,18875054192,4110.223883999999
22.43257761001587,16111497156,4164.8444162000005
23.627052783966064,16129084967,4178.2347828
24.809237480163574,19562533946,4035.260899800001
26.008697986602783,17730714849,4000.3746432
27.18814516067505,16742161750,4071.8877992
28.35977268218994,17169265799,4004.2753608
29.51064157485962,18430329586,4012.1397108
30.7442045211792,19806882377,3632.700552
31.91737389564514,19605714182,3815.468046
33.07049489021301,15114304263,4268.0561456
34.2295241355896,18994575407,4096.1833978
35.4038360118866,19640837024,3974.516660400001
36.58179306983948,15813167262,4040.5457430000006
37.750516414642334,17539826646,4011.4161906
38.91131663322449,16983033347,4058.560347400001
40.06616473197937,17784756581,3506.8290088
41.300549268722534,17772674601,3712.2982598
42.461498975753784,18226489208,4173.4637438
43.62468194961548,17506125328,3597.5102072000004
44.80893135070801,19068617671,3812.7207664
46.026575326919556,17012237638,4116.20079
47.206236124038696,15630713188,3576.9370676
48.3647723197937,16059850687,4013.1044044
49.53243017196655,18913341603,4278.174942600001
50.775285720825195,17756303597,3772.4867518
51.932833194732666,20313299064,3883.9193484000007
53.0786967277527,18918781843,4225.3160248
54.228137731552124,16034610539,3816.6109982
55.38564324378966,15737551370,4221.845225
56.639034986495986,17947516924,4186.224962400001
57.792577266693115,15920437319,3933.8212706
59.0477614402771,17210882979,3952.4230798
60.257728099823,19445978602,3984.520113600001
61.419328689575195,16895130714,4054.481371200001
62.58291792869568,18237194628,3937.6590734000006
63.798856735229506,17137609108,3920.2945886
64.98352670669556,15604765490,3586.1855432
66.1410689353943,15931126404,4088.811880400001
67.39374566078186,17417124761,4180.447286600001
68.57129383087158,17552891608,3863.5768964
69.72629046440126,17634378940,3837.9181438
70.89252018928528,17389171005,3673.5846862000008
72.08597612380981,2578147399,4031.3811538
73.26062798500062,4958999460,3934.4084754
74.4592616558075,7042789622,3983.0416158
75.6171362400055,6513128785,4239.1572808
76.92058801651002,822567901,4095.9631960000006
