Time (s),Package Power (W),DRAM Power (W)
0.5007102489471436,176.605138,17.6379
1.0020275115966797,178.047884,16.868769999999998
1.5028471946716309,177.190098,16.838231999999998
2.003866195678711,177.23721799999998,16.710446
2.504801034927368,176.567418,16.984744
3.0058586597442627,177.23819400000002,17.44148
3.50701904296875,177.43582600000002,17.068925999999998
4.007946729660034,176.882358,16.672898
4.508891820907593,177.50748,17.008978
5.0101518630981445,177.473302,16.693648
5.5111448764801025,177.793612,16.659864
6.012094497680664,177.23990400000002,16.630182
6.513023376464844,176.87601,16.578865999999998
7.013924598693848,176.86344000000003,16.745820000000002
7.514804840087891,177.3129,16.803621999999997
8.015725135803223,177.523472,16.530456
8.516599893569946,177.03506800000002,16.643188000000002
9.017517566680908,174.75883,16.511637999999998
9.518380165100098,175.34452199999998,16.538504
10.01928997039795,177.13479999999998,16.703224
10.52025818824768,177.268102,16.604876
11.021108388900757,177.370274,16.78514
11.522077083587646,177.189122,16.709314
12.022985935211182,177.05118,16.741504
12.523910760879517,177.08402,16.585904
13.024788618087769,176.08438999999998,16.59637
13.525681018829346,174.71354,16.469318
14.026268720626831,176.189736,16.670788
14.52719235420227,177.134068,16.81935
15.028152465820312,176.87857400000001,16.596584
15.529017210006714,177.115758,16.729294000000003
16.029966831207275,177.33585,16.802278
16.53088903427124,177.126866,16.834314
17.032036066055298,178.30655000000002,18.489898
17.533134698867798,179.842192,19.072306
18.034138679504395,179.67117000000002,19.415884
18.535226345062256,179.097442,20.416504
19.03639841079712,177.34879,18.040872
19.537366151809692,179.43215800000002,22.4686
20.03835105895996,177.971466,17.920797999999998
20.539375066757202,177.294834,17.907428
21.040353059768677,177.327672,18.316302
21.54137873649597,179.90053999999998,23.830730000000003
22.042654752731323,178.868684,21.704822
22.543827533721924,178.14761399999998,17.975482
23.0447940826416,177.673986,17.885088
23.545770168304443,177.016512,18.001798
24.0462703704834,177.268712,17.998888
24.547258138656616,176.771032,17.728754000000002
25.048224210739136,178.68875200000002,21.633831999999998
25.549338340759277,178.151398,19.599268000000002
26.050439596176147,177.336096,17.62811
26.551352500915527,177.50894399999999,17.502466
27.052308082580566,176.897008,17.4797
27.5532169342041,177.36173000000002,17.330309999999997
28.054093599319458,178.78689400000002,18.238394
28.55515766143799,178.48465,17.781508000000002
29.056076288223267,177.6525,17.27471
29.55695414543152,178.539338,17.85363
30.05781888961792,178.852324,18.092188
30.55871081352234,178.713776,18.446232000000002
31.059572458267212,178.661166,18.112172
31.560452699661255,178.931792,18.077254
32.061336278915405,178.290804,17.644848
32.56220555305481,177.202792,16.600070000000002
33.06314492225647,177.085606,16.677584
33.56401801109314,176.925084,16.61381
34.064940452575684,176.852332,16.566504000000002
34.56580877304077,177.32108,16.563319999999997
35.06669855117798,176.64029399999998,16.484372
35.56756067276001,176.872838,16.499614
36.06843423843384,177.35367200000002,16.463168
36.56932044029236,176.861486,16.424028
37.07018852233887,176.926548,16.44851
37.5710232257843,176.98343599999998,16.84325
38.071916341781616,177.561312,16.781744
38.572816133499146,176.66055599999999,16.448478
39.07361578941345,176.855996,16.457476
39.57428336143494,176.959384,16.439024
40.07539463043213,177.148838,16.477518
40.57634162902832,178.76224,17.442796
41.07751441001892,178.08279399999998,17.182788
41.57897591590881,177.361606,17.599804
42.08002519607544,176.103432,17.337775999999998
42.58126211166382,177.52005200000002,17.468224
43.082305669784546,178.490388,17.301148
43.58362913131714,177.48257999999998,17.452284
44.08445453643799,178.329254,17.43643
44.58560085296631,177.32010200000002,17.52569
45.086559772491455,178.207796,17.389552000000002
45.587687253952026,177.00516399999998,17.617214
46.08875918388367,178.182282,17.618534
46.589839458465576,177.03885400000001,17.384929999999997
47.09085154533386,177.25394,17.42719
47.59228730201721,177.58231,17.556964
48.09347200393677,177.91348399999998,17.518162
48.59448504447937,176.894322,17.314276
49.09565210342407,177.53128600000002,17.554792
49.59669351577759,176.836458,17.405984
50.097832441329956,177.061194,17.509688
50.598774433135986,176.449254,17.309776
51.099931955337524,176.83927,17.511982
51.60102295875549,176.916662,17.333768
52.10222601890564,176.945714,17.701244000000003
52.60342049598694,177.223668,17.407788
53.10454225540161,177.549716,17.492674
53.605647802352905,177.09647,17.610758
54.106308698654175,176.740026,17.567432
54.60752606391907,177.291172,17.290010000000002
55.10864996910095,176.53385,17.194782
55.60987114906311,178.13540799999998,17.68282
56.111061811447144,176.67532799999998,17.51177
56.612011432647705,177.174964,17.336492
57.11314916610718,177.376376,17.563112
57.61427044868469,177.395786,17.300995999999998
58.11535859107971,176.799962,17.557852
58.61636686325073,177.10904399999998,17.261246
59.117403984069824,177.0557,17.264336
59.61850380897522,177.359042,17.435788000000002
60.119736671447754,177.143224,17.499284
60.62091851234436,177.66373,17.321832
