Time (s),IPS
7.128715515136719e-05,5352090571
1.18369722366333,4954268662
2.3329319953918457,4883499687
3.5099644660949707,5000039494
4.684313774108887,4895341873
5.82655143737793,5108787975
6.992585182189941,4951256022
8.142468929290771,4958613387
9.320438623428345,4993274327
10.49036192893982,4917636420
11.646301031112671,5069457384
12.828426599502563,4977190352
13.990251064300537,6892761268
15.21063494682312,9289454528
16.374253034591675,9116775572
17.522355794906616,9354498784
18.67425799369812,6800476109
19.826563596725464,4761820870
20.978529453277588,4853573204
22.15844416618347,4738418646
23.310396194458008,8190866820
24.472771883010864,5401959745
25.626563549041748,7298986340
26.78247594833374,7970402083
27.96467423439026,7807284686
29.11447811126709,8058427963
30.29007577896118,7909992971
31.45796775817871,7896667193
32.64424514770508,7995567463
33.80221128463745,7919349759
34.95802664756775,8075572747
36.11414694786072,7882693422
37.27411150932312,7878549334
38.44030404090881,7960575989
39.59408974647522,7910374434
40.753968477249146,8118701635
41.93265342712402,7914815557
43.090017557144165,8009071332
44.26329159736633,7946333970
45.414015769958496,7931101845
46.578912019729614,8041624359
47.774131298065186,7875903904
48.922096729278564,8007056089
50.073978424072266,7915273057
51.24204969406128,7895663427
52.40213322639465,7939930533
53.59588432312012,7942322615
54.760106801986694,8057122565
55.91408038139343,7910471169
57.084232330322266,7912261642
58.24005079269409,7959903936
59.42458748817444,7934173772
60.58206224441528,8033556552
61.73943114280701,7990595398
62.90042805671692,7936911795
64.06429696083069,7973927800
65.22821974754333,7941057087
66.37621116638184,7988092966
67.54139614105225,7878143642
68.69399523735046,8076246840
69.87839484214783,7850629048
71.0379991531372,7978601332
72.23791670799255,7962962593
73.39409947395325,7928468849
74.55402755737305,7965412335
75.71818542480469,7944087494
76.86802744865417,8024126761
78.03644251823425,7928205314
79.23215413093567,7964472696
80.4001259803772,8015430051
81.57016515731812,7892999403
82.74017453193665,8028805962
83.92230701446533,7974705251
85.09406113624573,7958965469
86.2501471042633,8043598628
87.4402425289154,7902746283
88.5921630859375,8026985088
89.77002835273743,7937360344
90.93420243263245,7964544684
92.12055373191833,7958878665
93.27837681770325,7884994995
94.42987418174744,8096662352
95.60594630241394,8888984726
96.77006936073303,9381748718
97.95018720626831,9066648372
99.11004590988159,4196103236
