CPU Power Cap,GPU Power Cap,IPS,Memory Throughput,Performance,SM Clock
190,150,0.9815335820866924,0.9725163845514062,0.9677850001760978,0.9638962259466621
190,160,1.0,0.9738971007171531,0.9792360195168707,0.9756219478428769
190,170,0.9918654596515847,0.9761586641044683,0.977352429330665,0.9710668368809618
190,180,0.9937097351703118,0.9894988028487999,0.9871073317001178,0.9831419239279316
190,190,0.9829735462852296,0.9930033293336263,0.9910102330255455,0.9922031398166684
190,200,0.9580864170169391,0.9581347021604919,0.9555780368016163,0.9901344130529675
190,210,0.9835281147357963,0.9929865981646417,0.9920099021227903,0.9840901907069856
190,220,0.9948783903025211,0.9945973534332698,0.9949718507599635,0.994717426534411
190,230,0.9874305071440956,0.9944335907792669,0.9950145796011873,0.9900538605495933
190,240,0.9866366036118479,1.0,0.9970696400996855,1.0
190,250,0.9809760978092382,0.9988810038496541,1.0,0.9938889474238753
