CPU Power Cap,GPU Power Cap,IPS,Memory Throughput,Performance,SM Clock
190,150,0.9868331684513131,0.97633711376747,0.9715011083245039,0.9556225581790386
190,160,0.9637278752664848,0.9748629099992581,0.9632898051302072,0.9700314251741126
190,170,0.9727593885511369,0.9759337107254621,0.9800277686365666,0.9730859456472425
190,180,0.979972227403516,0.9737877828054731,0.984425103196813,0.9809685791262879
190,190,0.9805000371384639,0.9924389726732581,0.9911295148037232,0.985051809070834
190,200,0.9719641135481715,0.9904307421508894,0.9801273968528316,0.9813040103381622
190,210,0.984595077014725,0.9952290671050182,0.9932043053830482,0.9903176490572448
190,220,0.9962553067137432,1.0,0.9933388116889875,0.9994904025819602
190,230,0.9941873343172487,0.9961528195662218,0.9887326122468628,0.9977917445218277
190,240,0.9655303938157578,0.9742738694501331,0.9845430832946747,0.9866709097281502
190,250,1.0,0.997286482263977,1.0,1.0
