CPU Power Cap,GPU Power Cap,IPS,Memory Throughput,Performance,SM Clock
190,150,0.9719158953623553,1.0,0.9034402080652109,0.9251167804527488
190,160,1.0,0.9236979151973368,0.9721207051282076,0.9041322314049587
190,170,0.9972800482194051,0.9111177814765705,0.9759566644466089,0.9074380165289256
190,180,0.988957782844385,0.8826626794933278,1.0,0.9613182826043136
190,190,0.9918998589025623,0.837967218664485,0.9960454600181717,1.0
190,200,0.9784810929715273,0.8906360481846136,0.9999486239546199,0.9795202580124974
190,210,0.990481129059427,0.8907513752926902,0.9919551378423094,0.956198347107438
190,220,0.9998826897713505,0.9229976020537702,0.9759673388436353,0.9235537190082643
190,230,0.9936261692192454,0.8931919767540271,0.9918329694634976,0.968595041322314
190,240,0.9977100366632564,0.9205529381894093,0.9758882923681602,0.9057851239669421
190,250,0.9555304373117579,0.9270268287866392,0.9720631167273409,0.9053719008264463
