CPU Power Cap,GPU Power Cap,IPS,Memory Throughput,Performance,SM Clock
190,150,0.9998823588438754,0.9832113732824073,0.9884222828340641,0.986987368175487
190,160,0.9946446929051488,0.973222334705271,0.9998727458534188,0.9687738004569688
190,170,0.998771036552908,0.9691057377817581,0.9975665886320608,0.9842325188859843
190,180,1.0,1.0,0.9953134961526452,0.9854847231084854
190,190,0.9960642073849696,0.972942671174573,0.9998912711564977,0.977913175932978
190,200,0.9897426647871945,0.9725493207285323,0.9999254160024246,0.984006092916984
190,210,0.9870446856046476,0.9742905834415638,1.0,0.9845138359989846
190,220,0.9143838765926069,0.9090297958906367,0.9087396245031308,0.979912414318355
190,230,0.9930706691410174,0.979910862549222,0.9929763249326254,0.9786747905559787
190,240,0.981943800590352,0.9761246485951581,0.99995456142852,0.9807057628839807
190,250,0.983615747786448,0.9761482025140827,0.9999090383700658,1.0
