Time (s),IPS,Memory Throughput (MB/s)
0.00045108795166015625,4214225402,1390.6582534000001
1.2311925888061523,4420835139,1591.8492980000003
2.4310197830200195,4489092968,1591.8283264
3.6289539337158203,4503530866,1590.3393428
4.8231120109558105,4548258987,1576.1520554
6.012845039367676,5758937139,1578.6371900000001
7.218955755233765,8108475486,1390.0395912000004
8.436123847961426,7673100466,1247.233481
9.647398233413696,8037159072,1563.3488935999999
10.863680839538574,7945668359,1446.6629112000003
12.056216478347778,7926400435,1286.9432056
13.27588438987732,8042119140,1248.072345
14.473549604415894,5219386228,1231.9661562
15.665480852127075,2160451893,1275.9016582000002
16.869653463363647,1820422659,1252.3820088000002
18.07697057723999,1884289859,5429.0963506
19.281517267227173,2862941401,6510.0669867999995
20.496129035949707,1865637245,6815.7070852
21.700149297714233,1779011297,6723.348158800001
22.900150537490845,1878073008,6095.6996282
24.104018211364746,5955555742,4522.441653600001
