Time (s),SM Clock (MHz),DRAM Active,FP16 Active,FP32 Active,FP64 Active,FP16 (T),FP32 (T),FP64 (T),Power (W)
0.10022354125976562,1140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46
0.890488862991333,1140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46
1.5951426029205322,1140.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,196
2.300689458847046,1365.0,0.825,0.0,0.0,0.0,0.0,0.0,0.0,251
3.0234158039093018,1365.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,251
3.7465059757232666,1335.0,0.84,0.0,0.028,0.0,0.0,5.146741555200001e-07,0.0,245
4.4961097240448,1365.0,0.851,0.0,0.0,0.0,0.0,0.0,0.0,253
5.219990968704224,1365.0,0.856,0.0,0.0,0.0,0.0,0.0,0.0,247
5.940945386886597,1350.0,0.818,0.0,0.0,0.0,0.0,0.0,0.0,248
6.657562971115112,1350.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,247
7.375411033630371,1350.0,0.825,0.0,0.0,0.0,0.0,0.0,0.0,248
8.092379093170166,1335.0,0.847,0.0,0.0,0.0,0.0,0.0,0.0,246
8.812151193618774,1350.0,0.848,0.0,0.0,0.0,0.0,0.0,0.0,249
9.529202938079834,1350.0,0.855,0.0,0.0,0.0,0.0,0.0,0.0,249
10.24309492111206,1350.0,0.828,0.0,0.0,0.0,0.0,0.0,0.0,249
10.957249164581299,1350.0,0.42,0.0,0.028,0.0,0.0,0.0,0.0,167
11.672811508178711,1410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70
