Time (s),IPS
5.459785461425781e-05,6278934262
1.1676111221313477,7105486037
2.342191457748413,7110102292
3.498380184173584,7186635614
4.644256591796875,7007318373
5.792137861251831,6993787083
6.936147212982178,7994431780
8.100187301635742,7028341027
9.264087677001953,7140620114
10.416114568710327,7047833501
11.564166069030762,6988571813
12.712061882019043,7137441540
13.890451192855835,7949449461
15.046413660049438,7255411628
16.19614338874817,7020177267
17.34645414352417,7016911797
18.510367155075073,7084658740
19.660158395767212,6968228003
20.806345224380493,7470029427
21.967567682266235,7633632732
23.128227472305298,7121908149
24.300289630889893,7129911825
25.46408700942993,7002038866
26.608078718185425,7131009131
27.757063388824463,7024273021
28.888124227523804,8016342926
30.056947469711304,7314623560
31.207814693450928,7125033851
32.35210943222046,7039640786
33.504117488861084,7084679814
34.66105270385742,7024711651
35.80424666404724,7729617615
36.98825407028198,7511701069
38.12801718711853,618889848
