Time (s),IPS
0.00010323524475097656,3203358806
1.2405030727386475,3270151306
2.5025031566619873,3215205367
3.724780797958374,3206511529
4.946352481842041,3225993731
6.172415494918823,3182421361
7.3886754512786865,3286644369
8.62335729598999,3181928923
9.838469743728638,3281136957
11.080706596374512,3188717769
12.29479718208313,3299997738
13.550060033798218,3216654372
14.777632474899292,3216087144
16.027783393859863,3176080584
17.248554229736328,3264416317
18.4744074344635,3168506947
19.69865322113037,3302156629
20.93429660797119,3170296216
22.150868892669678,3289196334
23.381130695343018,3204452255
24.586997270584106,3332820396
25.824508666992188,3173548306
27.026983737945557,3274103234
28.283015966415405,3175064935
29.50855016708374,3298491874
30.730916023254395,3183909124
31.950731992721558,3237936173
33.1968035697937,3214343768
34.419238328933716,3211190648
35.664674520492554,3189876641
36.89481282234192,3255582794
38.131046295166016,3204631326
39.3464994430542,3208898835
40.57081437110901,3223181266
41.791208028793335,3162128484
43.01262831687927,3233446958
44.26069498062134,3172135838
45.47304368019104,3244777159
46.69886350631714,3161769744
47.90246367454529,3310456179
49.12475943565369,3152132665
50.34276008605957,3257534019
51.57676601409912,3145894844
52.794530153274536,3278485118
54.01639723777771,3225411518
55.23060989379883,3248305716
56.46263551712036,3166478045
57.69098353385925,1886542102
58.94097375869751,1558944664
60.17644476890564,1631969453
61.40691161155701,4380499383
62.622557163238525,4671717288
