Time (s),Package Power (W),DRAM Power (W)
0.5007033348083496,161.461378,16.830364
1.0016462802886963,161.550002,16.790468
1.5025155544281006,161.563186,16.824766
2.0034101009368896,161.629226,16.829079999999998
2.504193067550659,161.203444,16.797504
3.0050694942474365,161.878368,16.905644000000002
3.5059378147125244,161.533278,17.252738
4.006790399551392,161.378738,18.119394
4.5076658725738525,161.614698,16.412982
5.008521318435669,161.62703,17.145884
5.509409427642822,161.46687,16.833886
6.0102527141571045,161.48164400000002,16.851818
6.511111736297607,161.650342,16.86314
7.01198148727417,161.471876,16.82339
7.512817144393921,161.56819000000002,16.827428
8.013689756393433,161.491042,17.051578
8.51452898979187,161.438918,18.291148
9.015405893325806,161.594678,16.554873999999998
9.516251564025879,161.540604,17.113326
10.017109394073486,161.460034,16.776756
10.517987728118896,161.71333199999998,16.82844
11.018834114074707,161.48799000000002,16.837528
11.519721984863281,161.518874,16.859192
12.020570278167725,161.58943,16.838078
12.521440029144287,161.49372599999998,16.959684000000003
13.022285223007202,161.60481199999998,18.124992
13.523181676864624,161.515944,16.85647
14.024051189422607,161.371168,17.073024
14.524913311004639,161.54694999999998,16.838324
15.025810241699219,161.54939,16.803164
15.526661396026611,161.463576,16.830336
16.027568817138672,161.548538,16.817881999999997
16.528432846069336,161.814528,16.875962
17.02928900718689,161.335768,16.879296
17.530163288116455,161.469924,17.901888
18.031002283096313,161.71882399999998,17.179208
18.53187918663025,161.58833,16.969444
19.03272294998169,161.50654600000001,16.796094
19.533595085144043,161.52814999999998,16.793404
20.034459590911865,161.501418,16.817086
20.535303115844727,161.62739399999998,16.817882
21.036173820495605,161.51582200000001,16.806316
21.53702211380005,161.420362,16.835016
22.037923336029053,161.771804,18.158256
22.538767099380493,161.184158,16.903134
23.039659023284912,161.51191599999999,17.127156
23.540537118911743,161.74006400000002,16.816994
24.04137897491455,161.539014,16.85898
24.54225778579712,161.48982,16.817422
25.04309868812561,161.56685,16.836242
25.543985843658447,161.329908,16.835264000000002
26.044824361801147,161.391798,16.928103999999998
26.545669078826904,161.89961,18.56297
27.04654598236084,161.441482,16.672104
27.54738688468933,161.456618,17.26192
28.048255920410156,161.52046,16.831834
28.54910182952881,161.64009,16.844904
29.049983978271484,161.49446,16.837434000000002
29.550853490829468,161.537306,16.808918
30.05170774459839,161.52827200000002,16.869138
30.5525803565979,161.54402,17.045882
31.053418159484863,161.491286,18.519028
31.554290056228638,161.58943,16.500194
32.055140018463135,161.604444,17.148424
32.55603528022766,161.52156,16.832384
33.05690360069275,161.730176,16.872168000000002
33.55775165557861,161.43013000000002,16.813478
34.05861854553223,161.398146,16.804938
34.559465408325195,161.40071,16.891168
35.060381174087524,161.744214,17.04258
35.561232805252075,161.66584799999998,18.439284
36.06208419799805,161.379836,16.52354
36.56295871734619,161.339308,17.1789
37.06380343437195,161.841504,16.86458
37.56468749046326,161.517408,16.85041
38.065529346466064,161.55195600000002,16.870392
38.56640911102295,161.362134,16.852062
39.0672812461853,161.60005,16.846584
39.56812310218811,161.559522,17.109472
40.06900906562805,161.675248,18.269056
40.5698664188385,161.35493400000001,16.46947
41.07075810432434,161.581738,17.1513
41.571600675582886,161.577956,16.849216
42.07246375083923,161.42048599999998,16.861398
42.5733277797699,161.561964,16.833886
43.074166774749756,161.569288,16.877552
43.57504677772522,161.659132,16.866382
44.075886726379395,161.381544,17.176944
44.57675123214722,161.562454,18.308928
45.07759976387024,161.530226,16.487708
45.57847595214844,161.60407800000002,17.184746
