Time (s),Package Power (W),DRAM Power (W)
0.5008180141448975,125.432054,16.776481999999998
1.001866340637207,125.693526,16.432566
1.5027663707733154,125.672896,16.512372
2.003712654113769,125.473432,16.419654
2.50461483001709,125.653854,16.50365
3.005525588989258,125.57939,16.526082
3.5064754486083984,125.52861,16.435748
4.007373094558716,125.729536,16.381314
4.508274078369141,125.578048,16.55509
5.009199619293213,125.614302,16.564576
5.51008939743042,125.340744,16.51736
6.010993242263794,125.94621,16.605028
6.51190996170044,125.468184,16.556742
7.01282000541687,125.676438,16.511546
7.513735055923462,125.403242,16.698878
8.014693975448608,125.708174,16.57189
8.515639066696167,125.56511,16.500896
9.016547441482544,125.557416,16.634404
9.517484903335571,125.810834,16.880186000000002
10.018454790115356,125.625412,17.25225
10.51937770843506,125.532272,16.945974
11.020355463027954,125.55693,17.131684
11.521311521530151,125.40898,19.18256
12.022281646728516,125.797408,20.634772
12.523311614990234,125.649458,20.930828
13.024329900741575,125.410812,20.331896
13.52540397644043,125.593062,20.988478
14.026436805725098,125.656052,20.481836
14.527440547943115,125.56755,20.720422
15.028437614440918,125.481612,21.011336
15.529406547546388,125.435102,20.298052
16.030436992645264,125.596724,20.560934
16.53148102760315,125.6176,21.047078
17.03225803375244,125.529096,20.464852
17.533321857452393,125.875778,20.980646
18.034430027008057,125.161178,20.62039
18.535486459732056,125.555588,20.812622
19.03652119636536,125.54045,21.011092
19.53756022453308,125.6591,20.436148000000003
20.03857135772705,125.588548,21.089032
20.539637088775635,125.685712,20.908704
21.040679216384888,125.607956,20.494288
21.54166412353516,125.535444,20.861488
22.04273676872253,125.492964,20.44435
22.543748140335083,125.5551,20.740344
23.04472804069519,125.482588,20.87425
23.54579401016236,125.71733,19.993642
24.046804428100582,125.298874,21.043558
24.547806978225708,125.88493,20.967854
25.048887968063354,125.30925,20.425622
25.54987621307373,125.64421,21.02211
26.050929069519043,125.496138,20.61161
26.551958084106445,125.454024,20.710262
27.052885055541992,125.547776,20.989518
27.553879022598267,125.500656,20.312096
28.054920196533203,125.484786,21.124252
28.55591821670532,125.777386,20.882696
29.056989908218384,125.461716,20.296
29.55801296234131,125.52336,20.87526
30.059004306793213,125.527878,20.517054
30.56002759933472,125.641034,20.850474
