Time (s),IPS
6.651878356933594e-05,9795115479
1.2134196758270264,9700759595
2.3670737743377686,9714309765
3.527069330215454,9887839564
4.72576904296875,9844764905
5.907426118850708,9656802891
7.067210674285889,9657410670
8.229981184005737,9731894228
9.391154527664185,9645623365
10.545029163360596,9757911290
11.721332311630249,9756723810
12.913265466690063,9683506027
14.077091217041016,9675615055
15.245380163192749,9735907761
16.405359268188477,9586648028
17.577123165130615,9690258593
18.741325855255127,9944218942
19.931067943572998,9626804523
21.10313653945923,9593879903
22.259079933166504,9875130110
23.44718027114868,9629923931
24.61500120162964,9634839042
25.799165964126587,9675563128
26.973328351974487,9666285062
28.13726305961609,9665872907
29.29720115661621,9722860094
30.4655282497406,9604868048
31.613158226013184,9624542321
32.7650682926178,9661382119
33.94517421722412,9645787534
35.101337909698486,9617532575
36.25318431854248,901433656
