Time (s),Memory Throughput (MB/s)
1.0011320114135742,130.0134342
2.36409592628479,59.2867132
3.365633249282837,54.484216800000006
4.367128372192383,84.8406078
5.368622064590454,25.375636
6.370119571685791,45.4664288
7.371638774871826,54.0438132
8.373142004013062,56.2668028
9.37463927268982,59.1503978
10.37613034248352,40.716361400000004
11.377654075622559,22.3976688
12.379169702529907,51.52722120000001
13.380710363388062,47.668446800000005
14.382242679595947,50.6778714
15.383768796920776,50.2479536
16.385286808013916,38.0529682
17.386810064315796,24.851346000000003
18.388343811035156,48.412938600000004
19.389867782592773,50.3528116
20.391398668289185,54.15915700000001
21.392939567565918,54.83024820000001
22.394460439682007,32.9463836
23.396005868911743,29.192467200000003
24.39753031730652,48.486339199999996
25.399065494537354,50.7303004
26.400596141815186,50.11163820000001
27.40211009979248,48.67508360000001
28.40363836288452,12.446644600000003
29.405157804489136,53.257378200000005
30.406693935394287,49.283260000000006
31.408137559890747,48.758970000000005
32.40965986251831,49.146944600000005
33.411192417144775,38.6821162
34.412750482559204,372.23541420000004
