Time (s),Memory Throughput (MB/s)
1.0010905265808105,6247.5759554
2.1977710723876953,644.7823278000001
3.1992342472076416,641.0703546000002
4.2007365226745605,523.4406502
5.20222020149231,477.50236040000004
6.203705072402954,484.601247
7.205188989639282,451.41369000000003
8.206656217575073,476.5271810000001
9.20813250541687,487.69455800000003
10.209627866744995,480.77393
11.211148262023926,494.0279812
12.212651491165161,478.8969718000001
13.214168548583984,462.08823440000003
14.215676307678223,471.29476680000005
15.217207193374634,2438.0219005999998
16.218716621398926,63.061601200000005
17.220219612121582,57.367811800000005
18.22173023223877,1002.4634516000002
19.22323513031006,45.571286799999996
20.224740743637085,1099.1215559999998
21.22624659538269,3463.1346802000003
22.227768182754517,867.1127452000001
23.229294061660767,880.9015722000001
24.230798959732056,870.6045166
25.232317447662354,2176.0866166
26.233821153640747,6498.784266000001
27.23532509803772,5678.4067314
28.236842393875122,226.6715386
29.238369941711426,211.72927360000003
30.23988389968872,226.9022262
31.241398811340332,219.0378762
32.24291944503784,229.38736080000004
33.24405312538147,188.80731480000003
34.24556016921997,202.93168740000004
35.247079610824585,225.21401239999997
36.24860215187073,211.02672500000003
37.25010681152344,228.70578380000003
38.251619815826416,220.7994906
39.253127336502075,205.95159780000003
40.25462007522583,188.79682900000003
41.25611639022827,214.9589
42.257641077041626,226.5876522
43.25915050506592,223.66211400000003
44.26066565513611,233.67605300000005
45.26218318939209,216.5946848
46.263691663742065,181.44628320000004
47.26520657539368,223.34754000000004
48.26672053337097,219.00641880000003
49.26804327964783,228.68481220000004
50.26954627037048,217.9263814
51.27104353904724,210.19834680000002
52.27253246307373,208.40527500000002
53.27403235435486,196.11591739999997
54.27553915977478,220.08645620000004
55.27705907821655,218.53455780000004
56.27856755256653,220.673661
57.28007411956787,221.6068972
58.281572103500366,226.41987939999999
59.283071994781494,194.14458700000003
60.2845733165741,206.6541464
61.28606629371643,225.28741300000004
62.28756880760193,221.21892260000004
63.289079666137695,226.07384800000003
64.29058599472046,222.04730080000002
65.29208397865295,213.03999860000002
66.29359483718872,189.8873522
67.29508852958679,219.4887656
68.29658603668213,227.94032040000005
69.29808020591736,213.18679980000002
70.29957461357117,223.3580258
71.30108499526978,218.0417252
72.30258798599243,208.24798800000002
73.30408000946045,206.517831
74.30558395385742,223.9557164
75.30707859992981,219.93965500000004
76.30857610702515,202.37594
77.31006741523743,220.6422036
78.31156492233276,215.38881780000003
79.31308603286743,193.8719562
80.31457662582397,211.44615700000006
81.31608557701111,214.8435562
82.31759405136108,218.08366840000002
83.31911277770996,221.55446820000003
84.32061743736267,224.67923660000005
85.32212138175964,203.13091760000003
86.32361364364624,191.40779320000004
87.32511377334595,218.02075360000003
88.3266270160675,219.36293600000002
89.32813096046448,225.130126
90.3296320438385,225.3188704
91.33113646507263,227.1014564
92.33263516426086,188.57662720000002
93.33412504196167,217.9892962
94.33562302589417,225.38178520000002
95.3371422290802,216.059909
96.33863973617554,219.95014080000004
97.34014296531677,3636.1294086000003
98.34164500236511,723.8452598000001
99.34315347671509,54.6415038
100.34465003013611,1708.7974254000003
101.34618163108826,289.38710840000005
102.34769606590271,1932.5434257999998
103.34924864768982,989.5868892000002
