Elapsed Time (s),IPS
0.00010704994201660156,5132257246
1.269911527633667,5215067908
2.5420444011688232,4977485971
3.782026529312134,5157229245
5.028732538223267,5240199136
6.249873876571655,4999605198
7.467845916748047,5018844198
8.729629039764404,5024827366
9.942179441452026,5085592760
11.207627296447754,4934340627
12.43567681312561,5060767323
13.67616081237793,4979527509
14.899537324905396,5051183188
16.122780084609985,4765602500
17.3438560962677,4836627879
18.580469369888306,4860266548
19.794278383255005,4769553401
21.047210454940796,4798137695
22.267937183380127,4843584774
23.49179220199585,4817939923
24.710104942321777,4771160518
25.959802389144897,4843162038
27.202947854995728,4763320618
28.418357133865356,4972956718
29.65386462211609,4792146426
30.88931632041931,4892455509
32.12636947631836,4760035380
33.33346748352051,4927856414
34.56363534927368,4830352853
35.79925847053528,4981143913
37.05138111114502,4781501686
38.283416509628296,4915641434
39.5398588180542,696280642
