Time (s),IPS,Memory Throughput (MB/s)
0.0004279613494873047,6507517284,185.44137300000003
1.228973388671875,7715148067,85.249554
2.424987554550171,7970602973,53.77118240000001
3.6210291385650635,7860900159,51.8732526
4.816893100738525,8040820465,54.631018
6.009018421173096,7784495430,44.113760600000006
7.204957008361816,6808461608,17.8363458
8.400936126708984,7857193042,125.59891240000002
9.592920064926147,8094391355,119.9470662
10.78489899635315,7888463128,53.6977818
11.980900526046753,8025740650,42.3416604
13.176937103271484,7995196216,42.310203
14.376898765563965,8017546593,25.6168094
15.573017120361328,7483542012,28.6576914
16.760912895202637,8026184853,48.2241942
17.95294189453125,7788596409,198.234049
19.152976274490356,8003605842,60.8386116
20.348891258239746,7692048486,41.39793840000001
21.54090118408203,8055131263,31.2581698
22.73692011833191,6981339029,29.192467200000003
23.928966522216797,7915957669,44.4912494
25.124937534332275,7696324899,42.3521462
26.316859483718872,8104754942,106.34698360000002
27.508991956710815,8050522999,112.42874760000001
28.704872369766235,8066362777,42.729635
29.90094828605652,5204448859,24.2326838
