CPU Power Cap,GPU Power Cap,IPS,FLOPS
120,110,0.6264737962162205,0.6866132346854507
120,130,0.6229470941371712,0.7702160653476406
120,150,0.5887701208717472,0.8504537743186528
120,170,0.6222802019049505,0.7758117359079482
120,190,0.617084601840447,0.7718404540204317
120,210,0.6182103044824564,0.7769337817065423
120,230,0.622990599936506,0.7828805782707001
120,250,0.6196933983250283,0.8494045206833744
140,110,0.7171462045802379,0.7375910310665532
140,130,0.7103746736344486,0.9091983472263917
140,150,0.7073196688093741,0.9067023520933314
140,170,0.7129623069908991,0.8880085396912021
140,190,0.7114308064689652,0.9097224244203274
140,210,0.7461858136438487,0.9120447604479719
140,230,0.7142661137502657,0.8298615286665808
140,250,0.7469078750965404,0.9162284081406118
160,110,0.8505293013298796,0.9718099355301038
160,130,0.8982951717311297,0.826061210529837
160,150,0.8553246302831453,0.9089975806799102
160,170,0.8844041579682304,0.8337066960975451
160,190,0.8503867229348714,0.9824712469475149
160,210,0.8855008597104217,0.9898494530448463
160,230,0.8375038564790691,0.9274562640616048
160,250,0.8547369472557109,0.923481297496779
180,110,0.9750031335122925,0.9676381241953164
180,130,0.9793288736821342,0.826393095307069
180,150,0.9599162498065738,0.9896912020057824
180,170,0.9768587188261402,0.9774693989688754
180,190,0.9700788443183379,0.9793467833221162
180,210,0.9766084781211497,0.9881614656375949
180,230,0.9621819704231318,1.0
180,250,0.9693152117420325,0.9909106512715683
200,110,0.9959340803076994,0.9691949578576705
200,130,0.9876789947042774,0.978421852877461
200,150,0.9917223791737368,0.9814746489541992
200,170,0.9824674451785521,0.9924966420486154
200,190,0.9620221677748428,0.9791665845402019
200,210,0.9794251376033036,0.9888954720279393
200,230,0.9767731481199607,0.9832085206393841
200,250,0.9922973985219234,0.9832497880782064
300,110,1.0,0.9737166900829197
300,130,0.9842238803640243,0.9787792672529415
300,150,0.9700957514720401,0.981744556471454
300,170,0.9668303677727644,0.9835180264305516
300,190,0.9645772277852387,0.9887384994981675
300,210,0.9815092739479765,0.9887331368619696
300,230,0.9854176463954294,0.993567571151617
300,250,0.9813487461505495,0.9810548007082802
540,110,0.9912407960826597,0.9672861079701811
540,130,0.9849052243469095,0.9858276889811644
540,150,0.9772057482458736,0.9843072573194925
540,170,0.9819634481130198,0.9830699799519093
540,190,0.9881992020875696,0.9793498375387589
540,210,0.9957185673255742,0.9763391257262245
540,230,0.9873543000833651,0.9896182914619767
540,250,0.9818342463065536,0.9855733366602989
