Time (s),IPS,Memory Throughput (MB/s)
0.0,13236533933,4713.8494468
1.5095126628875732,11641378326,5734.2436164
2.7479588985443115,11727256070,5678.595475800001
4.118618726730347,14037107581,5211.1909408
5.456881523132324,12656375418,1878.4996126
6.790100574493408,13692574171,402.90637920000006
8.057433128356934,11374160943,161.56520640000002
9.33981204032898,12015895411,101.33477120000002
10.673259973526001,12576014283,82.6490756
12.039184808731079,13283217479,97.9793152
13.312256336212158,13509473966,70.6952636
14.645802736282349,11165643087,65.483821
15.958213329315186,11821478403,91.9185228
17.37614369392395,12018009118,601.5074312000002
18.79099416732788,11717858774,403.26289639999993
20.072395086288452,12350689477,171.7783756
21.4184250831604,12309997774,120.0938674
22.84060430526732,12101250120,281.1872128
24.047645092010484,12230620251,2580.6497522000004
25.47661185264589,13337439556,2914.0352774
26.80233407020569,13114036499,2584.592413
28.088982820510864,12538587182,3019.0610502000004
29.373343229293823,13755334380,3051.1685698
30.728753805160522,12143372422,3379.7411128
31.939780950546265,12324318709,3215.365712
33.29527997970581,11637772952,3048.7463500000003
34.636519432067885,11621350702,3224.121355
35.91840529441832,11915141774,2927.6458458000006
37.26355457305908,12998427267,2975.136034
38.670493602752686,11813215208,3316.396395
39.96947741508484,11653319206,3255.7465278
41.338633775711045,11927553419,3303.5827474
42.59763574600221,13466455118,3131.7099996
44.02187371253969,14512710512,2970.7949128
45.394858837127686,13528500966,2685.2980362
46.62128782272339,13173646751,2954.4685222000003
47.97898912429808,12180463371,3208.8854876000005
49.391246318817124,12868487051,3008.4599064
50.69566249847412,12776104186,3180.86743
52.14501404762268,13297541839,2942.997057000001
53.44463300704956,13913534547,3080.9796992
54.74052929878235,13520910978,2737.6955788000005
56.189918518066406,12967624758,2918.5546572000003
57.57534742355347,12257445105,3103.744371
58.839741468429565,11764343105,2975.0102044000005
60.26588535308838,13999810235,2872.375194
61.570427656173706,12143921672,2847.2931604000005
62.99984812736511,11867284051,2860.5576974
64.37453961372375,12046456148,3203.3280136000003
65.70245933532715,14330211198,2929.1138578
67.12996459007263,13353267092,2894.0912858000006
68.4424078464508,11950663858,3087.7954692
69.86599516868591,11653791173,2990.1936428
71.26561570167542,13481457471,2900.791712
72.52846765518188,13042417144,2969.1276706
73.85129857063293,13308793998,3303.2996308000006
75.18434762954712,13044238144,2797.7162980000003
76.4213342666626,12542740096,2750.0897944000003
77.74280285835266,13794075472,3187.0225946
79.1323766708374,13841649723,3256.3547042
80.38110899925232,12024918571,3089.378825
81.80496954917908,11580452706,3026.988315
83.06328511238098,11443004810,3007.065295000001
84.3507125377655,12644853449,3001.8643382
85.83991599082947,13308991668,3127.7463672000003
87.04804730415344,11956807474,2980.431363
88.41604685783386,11909866735,2854.0879588000003
89.83775305747986,12990877709,3217.6411306
91.27706980705261,11930551704,3147.9525038
92.58418440818787,13796750194,2717.7830446000003
93.80020689964294,10104206935,3082.5315976
95.17552351951599,13517624932,3034.2969176
96.48247575759888,5759606630,2984.8039416
97.7231719493866,1552294221,2854.706621
98.93406701087952,3502387151,2868.4010758
100.14815855026245,4470403713,2933.1613766
101.37550950050351,4942580307,3118.424491
102.60475730895996,4243522444,2940.585323
103.84491348266602,1241207854,3076.9741236000004
