Time (s),IPS
6.580352783203125e-05,4216820155
1.1862447261810303,4127610977
2.3513779640197754,4189645942
3.511315107345581,4106736904
4.697376728057861,4160622191
5.877615690231323,3047025355
7.065883159637451,7551023155
8.233289957046509,7625670003
9.40587592124939,4296093881
10.573498249053955,4618980529
11.784470319747925,4530195425
12.991883754730225,4233062369
14.22156548500061,4094266305
15.383552312850952,4303213193
16.559467554092407,4560366575
17.773688077926636,4500068482
18.937870979309082,4703722611
20.11945390701294,4270201561
21.299388647079468,4216872330
22.487276315689087,4123787116
23.674612522125244,4487759653
24.863711833953857,4469971051
26.039469718933105,4522638466
27.22154140472412,4196406929
28.41587996482849,4115501944
29.587324142456055,4484021331
30.773431062698364,5521314895
31.96930956840515,4108815268
