Time (s),Memory Throughput (MB/s)
1.0010879039764404,160.5690554
2.176541328430176,117.9337926
3.180295467376709,69.40551020000001
4.184435844421387,66.5638584
5.188529014587402,61.289501
6.192559242248535,40.475187999999996
7.1941142082214355,38.7660026
8.196303367614746,52.3451136
9.200568199157715,54.25352920000001
10.204564809799194,55.55376840000001
11.208497285842896,54.12769960000001
12.212586164474487,51.5796502
13.216588973999023,25.826525400000005
14.220613718032837,58.4688208
15.224286079406738,57.074209399999994
16.228586435317993,87.12651220000001
17.23257350921631,66.06054
18.236608743667603,65.274105
19.24060368537903,39.03863340000001
20.244301795959473,23.0792458
21.248597621917725,56.9588656
22.252602577209473,67.79069700000001
23.25662350654602,54.83024819999999
24.260582208633423,63.732692400000005
25.26456046104431,66.5533726
26.26855230331421,45.749545399999995
27.276511907577515,44.606593200000006
28.28057360649109,61.289501
29.284571647644043,53.26786400000001
30.28829550743103,50.5205844
31.292576789855957,62.705084
32.29658794403076,57.46218400000001
33.30062532424927,27.860770600000002
34.31118822097778,325.41631720000004
