CPU Power Cap,GPU Power Cap,IPS,Memory Throughput,Performance,SM Clock
190,150,0.9940610656681251,0.8871645191144018,0.9793768973243172,0.9421425905188503
190,160,1.0,0.8891756246885456,0.9880684347426469,0.9699514744307577
190,170,0.9767328194386985,0.9878977717662136,0.9970889509304361,0.9888017917133258
190,180,0.999725497485961,0.9539625898768421,0.9998589963458219,0.9949608062709966
190,190,0.9594754239489688,1.0,0.9998297177639702,1.0
190,200,0.9904018171530237,0.9611082437531148,0.9998894717930629,1.0
190,210,0.9573990286119145,0.9604719869011176,0.9998711180098925,1.0
190,220,0.9714952535788917,0.9689613440592296,0.9999880602112589,1.0
190,230,0.9924061727446702,0.9745363778742794,0.9999689912949358,1.0
190,240,0.9569745951013539,0.9828388623905462,1.0,1.0
190,250,0.9624655772315805,0.9613040150921907,0.9968836148875614,0.9947741694662187
