Time (s),IPS
6.794929504394531e-05,3565708249
1.209441900253296,3479966646
2.3975398540496826,3559249535
3.5899505615234375,3541148921
4.806668996810913,3441578246
6.019514560699463,3531961841
7.221333742141724,1786233954
8.403595447540283,6081169643
9.627581596374512,6008541736
10.817833185195923,5724707246
12.063657760620117,3072285599
13.269319534301758,3611483027
14.46589994430542,3766964784
15.691415548324585,3129424962
16.89357328414917,3951418442
18.103408098220825,4009297510
19.319315671920776,3387722722
20.529247999191284,3248064642
21.741535902023315,3903024429
22.945482969284058,4125894994
24.149317979812622,3583880176
25.37360644340515,3100489481
26.589966773986816,3759783903
27.785473108291626,4165357181
28.969433784484863,3940058493
30.185181617736816,3360977884
31.381762504577637,3322496672
32.61163330078125,4037681753
33.80555033683777,4205229653
35.00987195968628,3895498263
36.22356200218201,3291151790
37.41971182823181,3470680297
38.647475242614746,4163887049
39.849597692489624,5091491036
41.05049920082092,856935701
