Time (s),IPS
6.270408630371094e-05,4814231498
1.1567025184631348,5190748986
2.3150949478149414,5164053566
3.485924482345581,5265958313
4.649664640426636,5146998627
5.793803691864014,5298612053
6.963490962982178,5185578421
8.113882064819336,5236141673
9.269726753234863,5237307336
10.429633378982544,5146960536
11.565608263015747,5257606665
12.728564500808716,5194773416
13.881639957427979,5168603696
15.051738262176514,5259325534
16.217856407165527,5149860298
17.36168122291565,5270318167
18.533487796783447,5209477388
19.677606344223022,5152505386
20.831928968429565,5335502564
21.983884811401367,5138437745
23.141631364822388,5278677421
24.32564663887024,5238666534
25.485599994659424,5174100615
26.64394974708557,5318992723
27.804736375808716,5205292816
28.957637548446655,5266534667
30.1350154876709,5225865485
31.282040119171143,5163234418
32.43600106239319,5233947412
33.59511375427246,2388173153
34.742074728012085,3527873815
35.915863275527954,7797922117
37.071738719940186,4528274008
