Time (s),IPS
6.437301635742188e-05,3790889940
1.2038333415985107,3767914034
2.3757266998291016,3691243846
3.5441625118255615,3727219473
4.704132080078125,3738917277
5.871990442276001,3703475513
7.031935453414917,3709762059
8.191746950149536,3709956193
9.355886936187744,3706158301
10.520100355148315,3705953046
11.683856964111328,3770273888
12.852023601531982,3722922338
14.016068458557129,3718315445
15.184071063995361,3719979370
16.34803009033203,3721338885
17.5119731426239,6644498159
18.680046319961548,7059558317
19.84005045890808,7035870463
21.011834383010864,6975806417
22.188104391098022,4252110763
23.352009534835815,3569443104
24.51806664466858,3567802914
25.684056758880615,3571325199
26.852052450180054,6052887583
28.016284465789795,4150695416
29.1822407245636,4550868536
30.351825714111328,6057368577
31.51605463027954,6130446850
32.683921575546265,6114747432
33.8520245552063,6116940029
35.01603937149048,6077315539
36.18407583236694,6086856045
37.35809135437012,6088174644
38.52406120300293,6087821720
39.70203709602356,6092579282
40.8560516834259,6109016326
42.028045415878296,6080246535
43.21801710128784,6092730201
44.388073205947876,6071451035
45.54798126220703,6084233959
46.72006130218506,6066346273
47.880070209503174,6111980477
49.04803776741028,6094458860
50.21587371826172,6105744260
51.384072065353394,6153741395
52.555901765823364,6063316838
53.7120041847229,6065821712
54.88405394554138,6092166499
56.05598568916321,6086361739
57.22005319595337,6081220710
58.4038565158844,6095491190
59.57200241088867,6123848633
60.736106395721436,6082280919
61.912024974823,6113812582
63.0798659324646,6095381160
64.24395561218262,6115198937
65.41169476509094,6096173345
66.57969880104065,6093057105
67.74373269081116,6067419537
68.90373420715332,6068881094
70.07164311408997,6100257649
71.23966670036316,6136186237
72.41367864608765,6113179490
73.57755875587463,6070491772
74.74371147155762,6075701944
75.90764451026917,6097071286
77.07367944717407,6070588489
78.24967646598816,6095589545
79.41172003746033,6097667193
80.58374619483948,6113863833
81.75950884819031,6112266730
82.92757177352905,6085684687
84.08772301673889,6093744429
85.2555022239685,6095916228
86.42970204353333,6098121732
87.59964942932129,6096790868
88.77158260345459,6063362272
89.93968105316162,6065581020
91.09550023078918,6135610521
92.26773452758789,6070629928
93.43157649040222,6097753263
94.59967470169067,6098349523
95.77161693572998,6078810224
96.93573951721191,6066699140
98.10364413261414,6089734859
99.27174735069275,6094108244
100.43570327758789,6072720217
101.59568929672241,6136755375
102.76374959945679,6073493733
103.9275586605072,6091325837
105.10976815223694,6109989672
106.28170204162598,6070788091
107.45766925811768,6071497324
108.62170839309692,6097907381
109.78768253326416,6139794771
110.95967388153076,6077371748
112.11964106559753,6118159442
113.30176258087158,6096837561
114.46353960037231,6072813613
115.62766790390015,6483302682
116.79570126533508,6964412012
117.96547794342041,6996089617
119.1216173171997,5140114549
