Time (s),SM Clock (MHz),SM Active,FP32 FLOPS (TFLOPS),FP64 FLOPS (TFLOPS),FP16 FLOPS (TFLOPS)
0.50058913230896,1245.0,0,0.0,0.0,0.0
1.3230834007263184,1245.0,0,0.0,0.0,0.0
2.134890079498291,1245.0,0,0.0,0.0,0.0
2.9661195278167725,1245.0,0,0.0,0.0,0.0
3.7737741470336914,1245.0,0,0.0,0.0,0.0
4.585939168930054,1245.0,0,0.0,0.0,0.0
5.409378290176392,1245.0,0,0.0,0.0,0.0
6.227658987045288,1245.0,0,0.0,0.0,0.0
7.064995050430298,1245.0,0,0.0,0.0,0.0
7.87690544128418,1245.0,0,0.0,0.0,0.0
8.691589832305908,1245.0,0,0.0,0.0,0.0
9.52559518814087,1245.0,0,0.0,0.0,0.0
10.3522047996521,1245.0,0,0.0,0.0,0.0
11.161049842834473,1245.0,0,0.0,0.0,0.0
11.972607135772705,1245.0,0,0.0,0.0,0.0
12.804617166519165,1245.0,0,0.0,0.0,0.0
13.643433094024658,1245.0,0,0.0,0.0,0.0
14.45739197731018,1245.0,0,0.0,0.0,0.0
15.27235460281372,1245.0,1.0,16.90108416,0.0,0.0
16.133352756500244,1245.0,1.0,16.90108416,0.0,0.0
16.97306227684021,1245.0,1.0,6.78108672,0.0,0.0
17.812953233718872,1245.0,1.0,16.72897536,0.0,0.0
18.639416933059692,1245.0,1.0,16.76339712,0.0,0.0
19.54034447669983,1245.0,0,0.0,0.0,0.0
20.397709131240845,1245.0,0,0.0,0.0,0.0
21.247780323028564,1245.0,0,0.0,0.0,0.0
22.09106421470642,1245.0,0,0.0,0.0,0.0
22.95613980293274,1245.0,0,0.0,0.0,0.0
23.79587197303772,1245.0,1.0,0.0,0.00860544,0.0
24.63531231880188,1245.0,0,0.0,0.0,0.0
25.461857318878174,1245.0,0,0.0,0.0,0.0
26.2692289352417,1245.0,0,0.0,0.0,0.0
27.12137222290039,1245.0,0,0.0,0.0,0.0
27.936295986175537,1245.0,0,0.0,0.0,0.0
28.748712301254272,1245.0,0,0.0,0.0,0.0
29.583368062973022,1245.0,0,0.0,0.0,0.0
