Time (s),IPS,Memory Throughput (MB/s)
0.00045561790466308594,2213065476,408.73648399999996
1.1641108989715576,6588265128,2029.8726214
2.3279855251312256,5132623313,1046.1682660000001
3.504075765609741,3690078938,5406.604309600001
4.675899028778076,5334953283,4500.7989624
5.839828968048096,5536962054,13244.6768948
7.003610372543335,4481516863,9434.965553000002
8.167978525161743,4668553205,12672.215129600001
9.33977484703064,4664078075,13518.492590200001
10.500233173370361,4829265823,12641.523192999999
11.673733234405518,4720580650,12430.3077236
12.835986614227295,4928508781,13255.204638
14.022026538848877,4604683198,10053.5333808
15.207894563674927,4397018628,12564.6937364
16.37584376335144,4716693979,13099.0291328
17.535958528518677,4882267576,12889.4179908
18.68387246131897,4996765478,13204.7259968
19.844061136245728,4525953122,13395.7458154
21.003878116607666,4646901331,10382.2422392
22.174160957336426,4634002699,12955.4575592
23.33201789855957,4873528730,12898.446264600001
24.503931999206543,5149960487,12791.344303400001
25.68587064743042,4628250353,13402.676929200003
26.853909730911255,4392151083,13288.5599678
28.015897750854492,4580165597,10668.577979800002
29.183890104293823,4932576016,11856.3779464
30.357861518859863,5085670931,13042.7833016
31.519960641860962,4623636624,13353.414640800002
32.672006607055664,4523369082,13230.426692600002
33.82396125793457,4625578225,12327.242795400001
34.98797535896301,4820822364,11359.5502566
36.15999913215637,4979415830,13058.805604
37.32780575752258,4623966473,13475.144293
38.494019746780396,4529482479,13355.4069428
39.66599369049072,4627077792,13592.931284400001
40.82198429107666,4719221033,11031.9948362
41.97992134094238,5049405802,12325.9740136
43.140093088150024,4634153460,13210.975533600003
44.29594302177429,4639504911,13379.828371000001
45.45207095146179,4747003326,13191.5348604
46.63800835609436,4599450262,13524.5638684
47.80001163482666,4938366560,10466.044752800002
48.94790959358215,4578947236,12775.301029400001
50.13179969787598,4756263786,13355.5956872
51.325751304626465,4563793194,13460.4536872
52.49189496040344,4946040518,13429.478634000001
53.655845642089844,4592323173,13284.491477399999
54.83395218849182,4601670446,11034.941346000001
56.01590895652771,4612604259,13034.195431400001
57.179914712905884,4637430978,13003.1155202
58.339972734451294,5122360312,12489.248405400002
59.50587320327759,4650737717,13484.4556834
60.65579867362976,4663438205,12412.670608
61.82000398635864,4723051558,11703.9249002
62.975937843322754,4727073026,13281.2933084
64.13999605178833,5246058808,12941.9308772
65.32382225990295,4710929058,13284.868966200002
66.49001049995422,4557020892,13450.838208599998
67.67404890060425,4740700770,11170.900228800001
68.86399149894714,4601794020,12607.6855164
70.03191566467285,5412240761,13391.362751000002
71.19601345062256,4592241670,13321.0869194
72.34795236587524,4640909394,13323.582539800002
73.50388932228088,4424012533,13522.770796600002
74.67585492134094,4652555920,11119.8868118
75.84796214103699,5361593468,12713.990556800001
77.02791833877563,4521044349,13480.9743978
78.18790030479431,4592774433,13506.7904374
79.3622145652771,4619192014,13356.654753
80.52796053886414,4555099516,12889.428476600002
81.69197654724121,5260124123,10930.135775
82.86804962158203,4542059179,12839.736270400002
84.03573989868164,4728696727,13545.7451844
85.20010900497437,4636897068,13044.419086400003
86.37569332122803,4746572617,13115.628154200002
87.57411861419678,4938338770,11162.343816000002
88.74596834182739,4618769526,11845.0323108
89.94268989562988,4502182228,12943.0109146
91.09587574005127,4616382756,13619.1877276
92.25589036941528,5022382061,13531.652269200002
93.4159471988678,4938855881,13363.4600372
94.57990670204163,4666760786,10825.6238064
95.78773355484009,4676266359,12239.340334
96.95791149139404,4572537637,13543.4383084
98.11981797218323,4897966497,13666.3318844
99.30967259407043,4969636825,13592.155335200003
100.48795795440674,4669570703,13393.627683800001
101.65573334693909,4546436080,11295.890964800003
102.83402228355408,4692415650,12169.29519
104.0236587524414,4693449559,13235.0089872
105.18977117538452,4884753853,13463.075137200001
106.35567164421082,4553043018,13617.226883000003
107.53185057640076,4656786781,12627.608536400001
108.69588923454285,4586149239,11283.8637522
109.84770059585571,4785140483,12531.516665199999
110.99991512298584,4610143239,13405.1201206
112.18206739425659,4621173304,13526.3779118
113.34391212463379,4541704060,13610.683743800002
114.51788783073425,4695879727,11662.306760000001
115.68395400047302,5291948253,11880.400914200003
116.84788155555725,4669384319,13116.540418800001
118.00256443023682,4628787808,13417.4619072
119.16390061378479,4662048642,13397.6856884
120.32789707183838,4684554113,13561.484370200002
121.49991607666016,5283425926,11363.398545200002
122.65596985816956,4705356600,12418.123224
123.81183624267578,4594647687,13455.9762506
124.96773958206177,4678307424,13212.852491800002
126.12769818305969,4530108703,13313.191112000002
127.29194831848145,5308378823,13148.490651400001
128.46593713760376,4491887021,11519.930567600002
129.62378191947937,4665927750,12709.8172084
130.79406547546387,4624948813,13508.709338800001
131.96342849731445,4675569684,13336.5639602
133.13190937042236,5269150360,13322.838048
134.29195046424866,4650130770,12534.966493400001
135.45187711715698,4617756255,11768.7586016
136.62580132484436,4732113219,12730.8307516
137.82590126991272,4571284550,13387.336203799998
138.99193835258484,5245470863,13340.2549618
140.1478931903839,4580258054,13323.498653400002
141.33409357070923,4645650487,11285.572937600002
142.51640152931213,4610513832,12154.772357000002
143.66788792610168,4673402920,13546.185587999998
144.82790279388428,4890165729,13614.500575
145.983745098114,4604634657,13388.070209800002
147.14387679100037,4594481467,13295.637882800002
148.30788493156433,4728369352,11281.9029076
149.47796607017517,4918827767,12046.6952164
150.6557376384735,5238306198,13428.849486000001
151.80342173576355,380838732,13579.299744400001
