Time (s),Package Power (W),DRAM Power (W)
0.5007169246673584,170.34063,16.855702
1.0016300678253174,170.24822,16.78658
1.502532958984375,170.516288,16.751908
2.0031862258911133,170.427052,16.738598
2.5040347576141357,170.63726000000003,17.030338
3.004915714263916,170.405082,16.408088
3.505784511566162,170.220876,16.519226
4.006678581237793,170.439994,16.595696
4.507558822631836,170.644096,16.362034
5.0084099769592285,170.382742,16.416442
5.509304761886597,170.521046,16.43881
6.0101478099823,170.34709800000002,16.446673999999998
6.5110180377960205,170.458792,16.423662
7.011890649795532,170.24102,16.549764
7.512744665145874,170.572196,16.637954
8.013618469238281,170.35906,16.491624
8.514479398727417,170.622488,16.45356
9.015390396118164,170.143242,16.367604
9.516247272491455,170.47209800000002,16.532691999999997
10.017120122909546,170.52116999999998,16.5068
10.517992973327637,170.437918,16.53309
11.018841981887817,170.63750199999998,16.645298
11.519731521606445,170.404472,16.559098
12.020585775375366,170.396902,16.595238000000002
12.521461486816406,170.55657,16.604294
13.022324800491333,170.43157,16.642606
13.523218870162964,170.467582,16.643738
14.024094581604004,170.325736,16.609556
14.524954795837402,170.622366,16.709986
15.025842905044556,170.3449,16.647624
15.52669882774353,164.351874,16.782938
