Time (s),SM Clock (MHz),DRAM Active,FP16 Active,FP32 Active,FP64 Active,FP16 (T),FP32 (T),FP64 (T),Power (W)
0.10020565986633301,1035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42
0.8886287212371826,1035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42
1.599853515625,1035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42
2.3089540004730225,1365.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,252
3.028369426727295,1365.0,0.828,0.0,0.0,0.0,0.0,0.0,0.0,244
3.7439630031585693,1320.0,0.837,0.0,0.0,0.0,0.0,0.0,0.0,248
4.457770824432373,1350.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,254
5.175230264663696,1365.0,0.859,0.0,0.0,0.0,0.0,0.0,0.0,252
5.894137620925903,1320.0,0.837,0.0,0.0,0.0,0.0,0.0,0.0,243
6.611886262893677,1350.0,0.857,0.0,0.0,0.0,0.0,0.0,0.0,250
7.329328298568726,1350.0,0.857,0.0,0.0,0.0,0.0,0.0,0.0,250
8.04848313331604,1335.0,0.828,0.0,0.0,0.0,0.0,0.0,0.0,247
8.765508651733398,1350.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,250
9.481009721755981,1350.0,0.858,0.0,0.0,0.0,0.0,0.0,0.0,254
10.197310209274292,1320.0,0.819,0.0,0.0,0.0,0.0,0.0,0.0,241
10.913753747940063,1350.0,0.844,0.0,0.0,0.0,0.0,0.0,0.0,251
11.632822275161743,1410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71
