Time (s),IPS,Memory Throughput (MB/s),LLC Misses
0.0009317398071289062,1361791469,407.9919922,404795
1.1830308437347412,6080446304,1932.6797412,199132
2.3692710399627686,5235656489,895.2461466000001,497680
3.5628201961517334,4227287871,4122.5237274,8050759
4.7725067138671875,3968486503,3698.7610919999997,10598017
5.95820689201355,5902035794,10314.587857600001,2047230
7.139030933380127,4874901430,12498.727568600003,5655092
8.322947978973389,4410165598,8442.767699600001,9935519
9.508380889892578,4237647984,12513.197972600003,8891815
10.71331238746643,4280944469,12096.817340400003,7846512
11.914042711257935,4450171014,12328.7527506,8296897
13.111075401306152,4923817387,12090.8928634,8201886
14.286439657211304,4453370031,12575.557025200002,9274820
15.46660327911377,4334638175,8875.296463800001,9794712
16.655553340911865,4252623100,11986.265551,9862073
17.841379165649414,4403306408,12162.416505199999,8685032
19.025530099868774,5121208120,12937.6002418,8026169
20.206766843795776,4493073298,12448.678845200002,10042154
21.3821964263916,4224607363,12621.201712600003,9592659
22.574336290359497,4377597591,9252.6489484,9295698
23.750556468963623,4604426667,12132.615861600001,9109367
24.941819190979004,4704068795,12191.8606316,8407668
26.113581657409668,4216308683,12603.5960544,9778281
27.325003623962402,4423649215,12965.8175296,9449805
28.50649881362915,4497800971,12599.055703,8300497
29.686691761016846,4438688668,8455.707176800002,10026784
30.88321876525879,4478397521,11717.147494,10567425
32.08277440071106,4778254797,12418.1441956,8529066
33.25906562805176,4427084627,12487.444847800001,9695413
34.46320366859436,4404617812,12597.9127508,10172268
35.67620301246643,4533227663,12902.965644400001,8298006
36.87902474403381,4778400711,10816.1446432,9726385
38.06540536880493,4824882905,11139.642059,7471421
39.26141023635864,4380532920,12558.0457392,9184654
40.445517778396606,4602393852,12613.3059052,9610613
41.63840889930725,4233306643,12436.221714800002,10129383
42.81293487548828,4754635444,12722.630856000002,9196443
44.00105166435242,4781609568,11421.4689056,7511268
45.18033289909363,4428139532,10847.465727800001,10112721
46.34943914413452,4346253761,12211.479563400002,10221780
47.52713203430176,4375840882,12701.9843158,8612185
48.71084499359131,4597874037,13113.9294546,9557694
49.90671896934509,4578374063,12502.1039962,8497910
51.08671951293945,4504695956,11322.7031554,9806167
52.274868965148926,4490791781,10651.1296086,9387349
53.454673767089844,4309912780,12382.272273800001,10050486
54.630610704422,4441528991,13086.3622864,9443742
55.81367039680481,4971314707,12130.0992696,7836772
56.99305295944214,4372569981,12653.7181784,10100755
58.19607377052307,4420224584,11905.000601000002,9225427
59.39073157310486,4577615583,9870.4303412,9409282
60.59209990501404,4299805162,12263.573017800001,10104436
61.77919030189514,4928720988,12987.313419600001,7915548
62.98145818710327,4441662200,12668.5870428,9567142
64.15386414527893,4362584127,12791.228959600001,10206811
65.34425830841064,4286216325,11879.069217600001,8837261
66.52305126190186,4513231882,10663.775483400002,9256352
67.70582461357117,5149871286,12354.3066452,8885154
68.8899655342102,4297716627,13018.7813054,9642099
70.06270933151245,4529296250,12330.346592200001,9327517
71.25493454933167,4327764230,12838.8344916,10210348
72.4643166065216,4562309237,12143.112147400001,9264695
73.69622921943665,5113034509,10239.593416000002,8468655
74.87355351448059,4275744153,12405.2361758,10339784
76.10078406333923,4554419724,12841.7285724,9620803
77.28554582595825,4274716686,12679.1252718,10070963
78.46105575561523,4373322631,12628.069911600001,10079467
79.64786124229431,5070467161,12109.201070199999,8260409
80.84704279899597,4316101879,10741.8003212,10257324
82.02264928817749,4161524198,12425.106766800001,9296795
83.19480156898499,4575720763,12775.489773800002,9079583
84.3848328590393,4581569890,12641.533678800002,10080456
85.55869364738464,5031278506,13051.5808878,8828580
