Time (s),IPS
5.1975250244140625e-05,4402725322
1.1704812049865723,4422668862
2.3449320793151855,4434017353
3.5209364891052246,4437351958
4.68656587600708,3034917131
5.865038871765137,8533300183
7.040905952453613,8497312897
8.20645785331726,4723704043
9.385018587112427,4989697042
10.561003684997559,4589419675
11.726386785507202,4993765246
12.900949716567993,4671049730
14.076996088027954,4671292335
15.254505634307861,5170030386
16.43948984146118,4510893677
17.61852741241455,4849881655
18.79712176322937,5262736671
19.97300958633423,4645879455
21.137962579727173,5032859857
22.306472539901733,5039644639
23.485057830810547,4658940493
24.660954475402832,5232936098
25.826611042022705,6101688845
26.99450182914734,2915446951
